dataset,index,shape_id,mse,psnr,mse_best,prims,steps,time_s,pct_matches,pct_perfect
Donut,6,1543,0.0010551557643339038,29.766834241603117,3.637674126366619e-06,12,2700,3233.331830263138,0.75,0.625
Donut,11,30794,1.59646642714506e-05,47.96840210014578,1.5933106624288484e-05,10,3275,4757.706593036652,0.75,0.375
Donut,18,105422,1.0108004971698392e-05,49.95334553141058,1.0100193321704865e-05,15,2625,4977.98743724823,1.0,0.75
OneComp,10,248970,3.518098765198374e-06,54.53691972559463,3.516243623380433e-06,12,2925,4008.3400182724,0.6923076923076923,0.5384615384615384
OneComp,66,303016,9.644073191948654e-15,120.0,9.644073191948654e-15,8,750,490.10709285736084,1.0,1.0
OneComp,77,176035,1.085306575987488e-05,49.644475655457086,1.0826471225300338e-05,9,1325,1167.9298985004425,1.0,0.5714285714285714
OneComp,98,309914,1.2254745342943352e-06,59.11695709079679,6.044605811439396e-07,4,2050,1192.7704203128815,1.0,1.0
OneComp,103,158520,1.592369638925284e-11,107.97956111528103,1.5536700398444125e-11,4,1300,925.3128154277802,1.0,1.0
OneComp,107,262850,4.709770109911915e-06,53.27000290839962,4.704359525931068e-06,4,1750,947.3705379962921,1.0,0.5
OneComp,122,266247,0.003033624030649662,25.180382440937386,6.536413820867892e-06,4,1675,1149.9657816886902,1.0,1.0
OneComp,124,137694,1.6455508955459663e-07,67.83688680788059,2.111805841309433e-08,3,975,631.5470080375671,1.0,1.0
TwoComp,4,17086,9.902375950332498e-07,60.04260589410771,9.902375950332498e-07,11,2225,2229.552760362625,1.0,1.0
TwoComp,9,218688,8.937701750255655e-06,50.4877414177449,8.630641787021887e-06,10,3950,5187.814180135727,0.875,0.75
TwoComp,16,203339,8.727574822842143e-06,50.59106419224391,8.727574822842143e-06,12,1850,2401.3156790733337,0.7,0.6
