pair,k,reflections,inputs,chamfer_A,chamfer_B,avg_chamfer,hausdorff_A,hausdorff_B,avg_hausdorff,vs_avg_chamfer,vs_avg_hausdorff,raw_overlap_px2,clean_gap_px2,clean_uncovered_px2,clean_overhang_px2,pieces,simple_connected,runtime_s_per_restart,restarts,seed,median_restart_chamfer,config
dog-bone,4,False,"stand-in (MDI), not comparable",3.723156398643365,4.189841417477179,3.956498908060272,24.059078203254476,24.08107087877376,24.07007454101412,2.54,8.89,6.193206453327968,39.401454457724284,1258.5601023355216,771.5400457802019,4,True,2400.0,4,2,8.794387002812357,--init partition --mode fixed
dog-duck,6,True,"stand-in (MDI), not comparable",6.8637677529016905,7.853296324933252,7.358532038917471,23.67039387994855,31.82379398134824,27.747093930648393,,,6.12861710805419,299.8492488669232,1388.3716446256208,590.3453537601949,6,True,2400.0,4,2,7.358532038917471,--init partition --mode fixed --allow-flip
dog-bone,5,False,"stand-in (MDI), not comparable",4.075911588501474,8.19319680287954,6.134554195690507,24.380361127443372,33.48673142305646,28.933546275249917,3.85,13.69,2.7415243759586456,174.12753824722608,958.37813598208,1346.494081445975,5,True,2400.0,4,0,6.134554195690507,--init partition --mode fixed
serpent-apple,5,False,"stand-in (MDI), not comparable",3.8187676711453777,8.992044795471584,6.405406233308481,19.323734143464687,32.19193158964061,25.757832866552647,6.6,29.36,6.037155409941576,115.60853229575386,850.6863073155923,465.95308863583944,5,True,2400.0,4,2,8.295321235506966,--init partition --mode fixed
bunny-egg,6,False,"stand-in (MDI), not comparable",3.6870779521830648,15.935551024002988,9.811314488093027,23.19918634486739,33.29075529349465,28.24497081918102,3.26,9.74,5.124433643747697,261.57545925520117,1038.4482823890116,475.3211438500862,6,True,2400.0,4,3,8.689103702551343,--init partition --mode fixed
cat-bear,6,False,"stand-in (MDI), not comparable",7.865123156012932,6.036417892724304,6.950770524368618,37.35246736470094,27.367428654436576,32.35994800956876,2.81,8.92,6.630491695070601,69.29445566281478,786.6006624856266,379.32982109500404,6,True,2400.0,4,1,7.466505499349523,--init partition --mode fixed
caterpillar-butterfly,6,False,"stand-in (MDI), not comparable",11.623760289016737,7.564625856802509,9.594193072909622,34.02180191540494,42.14987727750859,38.085839596456765,4.61,13.71,8.738163578486581,222.62277006148537,836.7248088036971,375.77629586069145,6,True,2400.0,4,3,9.594193072909622,--init partition --mode fixed
dog-bone,4,True,"stand-in (MDI), not comparable",4.156898099622135,10.072012600077887,7.114455349850012,22.51369972899575,35.58814159978083,29.050920664388293,2.54,8.89,30.146076191294966,32.686473562089574,1416.9868661603236,1957.7599013080612,4,True,2400.0,4,3,7.04620114197633,--init partition --mode fixed --allow-flip
dog-bone,5,True,"stand-in (MDI), not comparable",4.467600437875559,5.568789172815502,5.01819480534553,26.089926153528804,24.9247652083769,25.507345680952852,3.85,13.69,7.571389025875275,161.5409011364329,1212.5335487602792,556.7917736085769,5,True,2400.0,4,0,5.143950284405784,--init partition --mode fixed --allow-flip
serpent-apple,5,True,"stand-in (MDI), not comparable",7.540236028759468,9.404625693658737,8.472430861209101,29.095712741511207,39.573157143260296,34.334434942385755,6.6,29.36,7.919911080900943,188.5292534160733,1166.5621961205431,415.23750766964673,5,True,2400.0,4,1,7.788955205533366,--init partition --mode fixed --allow-flip
bunny-egg,6,True,"stand-in (MDI), not comparable",4.577690071829857,9.17912865551018,6.878409363670018,22.767076218653393,43.725063252545624,33.246069735599505,3.26,9.74,17.268868793932263,199.40183432854332,1086.722968681161,403.11584461568873,6,True,2400.0,4,1,7.864006964292621,--init partition --mode fixed --allow-flip
cat-bear,6,True,"stand-in (MDI), not comparable",9.236148985993264,5.750926721917825,7.493537853955544,29.946076707221362,30.310679836806184,30.128378272013773,2.81,8.92,3.0739717466347045,212.51160791873508,834.4734923208968,363.90523720394754,6,True,2400.0,4,2,8.275458955502934,--init partition --mode fixed --allow-flip
