name,label,pair,k,config,restarts,budget_s,best_seed,pieces,pieces_clean,reached_k,chamfer_A,chamfer_B,hausdorff_A,hausdorff_B,avg_chamfer,avg_hausdorff,avg_chamfer_raw,avg_hausdorff_raw,overlap_raw_px2,gap_clean_px2,uncovered_clean_px2,overhang_clean_px2,simple_connected,best_loss,median_restart_chamfer,all_restart_chamfer
dog-bone_k4,"stand-in inputs, not comparable",mdi:dog-side-mdi:bone,4,--init partition --mode fixed,4,2400.0,2,4,4,True,3.723156398643365,4.189841417477179,24.059078203254476,24.08107087877376,3.956498908060272,24.07007454101412,4.035346276775002,24.503432748099303,6.193206453327968,39.401454457724284,1258.5601023355216,771.5400457802019,True,0.0322941480755806,8.794387002812357,8.91;8.79;3.96;5.98
dog-duck_k6_flip,"stand-in inputs, not comparable",mdi:dog-side-mdi:duck,6,--init partition --mode fixed --allow-flip,4,2400.0,2,6,6,True,6.8637677529016905,7.853296324933252,23.67039387994855,31.82379398134824,7.358532038917471,27.747093930648393,7.042952695980856,27.38911931857268,6.12861710805419,299.8492488669232,1388.3716446256208,590.3453537601949,True,0.029392281011343002,7.358532038917471,7.98;6.10;7.36;5.67
dog-bone_k5,"stand-in inputs, not comparable",mdi:dog-side-mdi:bone,5,--init partition --mode fixed,4,2400.0,0,5,5,True,4.075911588501474,8.19319680287954,24.380361127443372,33.48673142305646,6.134554195690507,28.933546275249917,6.100919708497428,30.651557760157754,2.7415243759586456,174.12753824722608,958.37813598208,1346.494081445975,True,0.024876093090772627,6.134554195690507,6.13;6.76;5.53;6.12
serpent-apple_k5,"stand-in inputs, not comparable",mdi:snake-mdi:apple,5,--init partition --mode fixed,4,2400.0,2,5,5,True,3.8187676711453777,8.992044795471584,19.323734143464687,32.19193158964061,6.405406233308481,25.757832866552647,6.536180312331899,25.017470351287812,6.037155409941576,115.60853229575386,850.6863073155923,465.95308863583944,True,0.022828403526544572,8.295321235506966,9.00;7.61;6.41;8.30
bunny-egg_k6,"stand-in inputs, not comparable",mdi:rabbit-mdi:egg,6,--init partition --mode fixed,4,2400.0,3,6,6,True,3.6870779521830648,15.935551024002988,23.19918634486739,33.29075529349465,9.811314488093027,28.24497081918102,9.899256203434266,27.974800489373557,5.124433643747697,261.57545925520117,1038.4482823890116,475.3211438500862,True,0.027375566559433937,8.689103702551343,4.24;7.95;8.69;9.81
cat-bear_k6,"stand-in inputs, not comparable",mdi:cat-mdi:teddy-bear,6,--init partition --mode fixed,4,2400.0,1,6,6,True,7.865123156012932,6.036417892724304,37.35246736470094,27.367428654436576,6.950770524368618,32.35994800956876,6.722281712370963,31.86944481774939,6.630491695070601,69.29445566281478,786.6006624856266,379.32982109500404,True,0.02755203891158104,7.466505499349523,7.47;6.95;7.12;7.98
caterpillar-butterfly_k6,"stand-in inputs, not comparable",mdi:bug-mdi:butterfly,6,--init partition --mode fixed,4,2400.0,3,6,6,True,11.623760289016737,7.564625856802509,34.02180191540494,42.14987727750859,9.594193072909622,38.085839596456765,10.263599267256968,37.560601331898134,8.738163578486581,222.62277006148537,836.7248088036971,375.77629586069145,True,0.03087298179924488,9.594193072909622,9.33;11.65;7.73;9.59
dog-bone_k4_flip,"stand-in inputs, not comparable",mdi:dog-side-mdi:bone,4,--init partition --mode fixed --allow-flip,4,2400.0,3,4,4,True,4.156898099622135,10.072012600077887,22.51369972899575,35.58814159978083,7.114455349850012,29.050920664388293,6.947539899070665,29.515239851838,30.146076191294966,32.686473562089574,1416.9868661603236,1957.7599013080612,True,0.04401125678062439,7.04620114197633,7.05;6.71;4.81;7.11
dog-bone_k5_flip,"stand-in inputs, not comparable",mdi:dog-side-mdi:bone,5,--init partition --mode fixed --allow-flip,4,2400.0,0,5,5,True,4.467600437875559,5.568789172815502,26.089926153528804,24.9247652083769,5.01819480534553,25.507345680952852,5.032704012294861,25.841113347567298,7.571389025875275,161.5409011364329,1212.5335487602792,556.7917736085769,True,0.02476181740641594,5.143950284405784,5.02;4.68;5.14;6.15
serpent-apple_k5_flip,"stand-in inputs, not comparable",mdi:snake-mdi:apple,5,--init partition --mode fixed --allow-flip,4,2400.0,1,5,5,True,7.540236028759468,9.404625693658737,29.095712741511207,39.573157143260296,8.472430861209101,34.334434942385755,8.447254307415868,32.62947698253356,7.919911080900943,188.5292534160733,1166.5621961205431,415.23750766964673,True,0.029206864202022554,7.788955205533366,7.79;8.47;7.49;7.64
bunny-egg_k6_flip,"stand-in inputs, not comparable",mdi:rabbit-mdi:egg,6,--init partition --mode fixed --allow-flip,4,2400.0,1,6,6,True,4.577690071829857,9.17912865551018,22.767076218653393,43.725063252545624,6.878409363670018,33.246069735599505,6.99179769785363,34.37751802192909,17.268868793932263,199.40183432854332,1086.722968681161,403.11584461568873,True,0.03131639849662781,7.864006964292621,8.81;6.88;6.43;7.86
cat-bear_k6_flip,"stand-in inputs, not comparable",mdi:cat-mdi:teddy-bear,6,--init partition --mode fixed --allow-flip,4,2400.0,2,6,6,True,9.236148985993264,5.750926721917825,29.946076707221362,30.310679836806184,7.493537853955544,30.128378272013773,7.30972097870105,29.76637354790845,3.0739717466347045,212.51160791873508,834.4734923208968,363.90523720394754,True,0.02616785010099411,8.275458955502934,7.18;8.28;7.49;8.98
