r0 14s L=1.354 cov=[0.0214, 0.0274] ov=[0.05492, 0.07538] P=7 S=96 arc=0.00 lr=0.71 w_ov=0.1 iou=[0.903, 0.888] acc=20
r1 24s L=1.308 cov=[0.0169, 0.0194] ov=[0.05495, 0.0721] P=6 S=87 arc=0.08 lr=0.25 w_ov=0.103 iou=[0.921, 0.918] acc=18
r2 37s L=1.272 cov=[0.0174, 0.0134] ov=[0.05217, 0.07184] P=6 S=81 arc=0.25 lr=0.35 w_ov=0.105 iou=[0.927, 0.935] acc=15
r3 50s L=1.137 cov=[0.0177, 0.0081] ov=[0.0446, 0.06642] P=6 S=75 arc=0.33 lr=0.5 w_ov=0.107 iou=[0.928, 0.957] acc=19
r4 62s L=0.9873 cov=[0.0228, 0.0067] ov=[0.03573, 0.05991] P=6 S=71 arc=0.45 lr=0.25 w_ov=0.11 iou=[0.904, 0.963] acc=8
r5 74s L=0.928 cov=[0.0178, 0.0061] ov=[0.03469, 0.05559] P=6 S=68 arc=0.51 lr=0.25 w_ov=0.113 iou=[0.929, 0.967] acc=7
r6 87s L=0.8717 cov=[0.0178, 0.0055] ov=[0.03205, 0.05266] P=6 S=67 arc=0.52 lr=0.13 w_ov=0.115 iou=[0.928, 0.968] acc=8
r7 100s L=0.7955 cov=[0.0176, 0.0052] ov=[0.02825, 0.0489] P=6 S=66 arc=0.56 lr=0.25 w_ov=0.118 iou=[0.927, 0.97] acc=3
r8 112s L=0.7373 cov=[0.0179, 0.0049] ov=[0.02529, 0.04604] P=6 S=68 arc=0.59 lr=0.5 w_ov=0.121 iou=[0.924, 0.972] acc=7
r9 125s L=0.6875 cov=[0.0173, 0.0046] ov=[0.02329, 0.04314] P=6 S=67 arc=0.61 lr=0.18 w_ov=0.124 iou=[0.926, 0.973] acc=10
r10 139s L=0.6534 cov=[0.0173, 0.0044] ov=[0.02145, 0.0416] P=6 S=63 arc=0.75 lr=0.18 w_ov=0.127 iou=[0.926, 0.974] acc=8
r11 151s L=0.6191 cov=[0.0172, 0.0041] ov=[0.01985, 0.03981] P=6 S=63 arc=0.76 lr=0.18 w_ov=0.131 iou=[0.928, 0.975] acc=3
r12 164s L=0.5969 cov=[0.0171, 0.0042] ov=[0.01883, 0.03861] P=6 S=61 arc=0.79 lr=0.18 w_ov=0.134 iou=[0.929, 0.976] acc=5
