r0 13s L=1.02 cov=[0.0077, 0.0419] ov=[0.03428, 0.06253] P=6 S=107 arc=0.00 lr=0.35 w_ov=0.1 iou=[0.953, 0.811] acc=10
r1 24s L=0.9064 cov=[0.0073, 0.0178] ov=[0.03624, 0.05171] P=6 S=100 arc=0.03 lr=0.5 w_ov=0.103 iou=[0.95, 0.931] acc=17
r2 36s L=0.7119 cov=[0.0069, 0.0113] ov=[0.03086, 0.03835] P=6 S=97 arc=0.11 lr=0.18 w_ov=0.105 iou=[0.954, 0.945] acc=11
r3 48s L=0.622 cov=[0.0061, 0.01] ov=[0.02692, 0.03351] P=6 S=88 arc=0.22 lr=0.18 w_ov=0.107 iou=[0.957, 0.95] acc=14
r4 60s L=0.5864 cov=[0.0059, 0.0096] ov=[0.02543, 0.03151] P=6 S=86 arc=0.30 lr=0.25 w_ov=0.11 iou=[0.96, 0.951] acc=12
r5 73s L=0.5544 cov=[0.0059, 0.0094] ov=[0.02422, 0.02955] P=6 S=86 arc=0.40 lr=0.25 w_ov=0.112 iou=[0.96, 0.951] acc=4
r6 84s L=0.5374 cov=[0.0059, 0.0093] ov=[0.02356, 0.02851] P=6 S=84 arc=0.43 lr=0.25 w_ov=0.115 iou=[0.959, 0.952] acc=7
r7 96s L=0.522 cov=[0.0059, 0.0091] ov=[0.02275, 0.02779] P=6 S=82 arc=0.48 lr=0.25 w_ov=0.118 iou=[0.957, 0.954] acc=12
r8 107s L=0.5107 cov=[0.0059, 0.009] ov=[0.02255, 0.02688] P=6 S=80 arc=0.54 lr=0.25 w_ov=0.12 iou=[0.959, 0.954] acc=8
r9 119s L=0.4887 cov=[0.0058, 0.009] ov=[0.02135, 0.02589] P=6 S=80 arc=0.59 lr=0.35 w_ov=0.123 iou=[0.959, 0.944] acc=6
r10 132s L=0.5007 cov=[0.0039, 0.0065] ov=[0.02318, 0.02572] P=6 S=72 arc=0.61 lr=0.35 w_ov=0.126 iou=[0.972, 0.966] acc=9
r11 144s L=0.4648 cov=[0.0038, 0.006] ov=[0.0217, 0.02367] P=6 S=72 arc=0.58 lr=0.35 w_ov=0.129 iou=[0.974, 0.966] acc=9
r12 156s L=0.4452 cov=[0.0038, 0.0057] ov=[0.02059, 0.02285] P=6 S=71 arc=0.66 lr=0.13 w_ov=0.132 iou=[0.972, 0.966] acc=5
r13 168s L=0.4339 cov=[0.0037, 0.0055] ov=[0.01998, 0.02235] P=6 S=70 arc=0.70 lr=0.13 w_ov=0.135 iou=[0.972, 0.967] acc=5
r14 180s L=0.4256 cov=[0.0037, 0.0055] ov=[0.01948, 0.02203] P=6 S=69 arc=0.71 lr=0.18 w_ov=0.138 iou=[0.972, 0.967] acc=4
r15 192s L=0.42 cov=[0.0037, 0.0054] ov=[0.01917, 0.02179] P=6 S=68 arc=0.74 lr=0.18 w_ov=0.141 iou=[0.972, 0.967] acc=3
