r0 14s L=1.134 cov=[0.0335, 0.0356] ov=[0.03841, 0.06791] P=6 S=114 arc=0.00 lr=1 w_ov=0.1 iou=[0.863, 0.838] acc=15
r1 26s L=1.025 cov=[0.0241, 0.0106] ov=[0.04849, 0.05039] P=6 S=114 arc=0.04 lr=0.71 w_ov=0.103 iou=[0.888, 0.947] acc=14
r2 39s L=0.9169 cov=[0.0137, 0.0084] ov=[0.04198, 0.04733] P=6 S=108 arc=0.08 lr=0.25 w_ov=0.105 iou=[0.923, 0.956] acc=10
r3 51s L=0.8116 cov=[0.0079, 0.0065] ov=[0.0385, 0.04104] P=6 S=102 arc=0.15 lr=0.25 w_ov=0.108 iou=[0.956, 0.965] acc=12
r4 64s L=0.7874 cov=[0.0077, 0.0065] ov=[0.03693, 0.04024] P=6 S=101 arc=0.21 lr=0.25 w_ov=0.11 iou=[0.956, 0.965] acc=10
r5 77s L=0.7659 cov=[0.0075, 0.0062] ov=[0.03592, 0.03914] P=6 S=95 arc=0.28 lr=0.18 w_ov=0.113 iou=[0.958, 0.965] acc=9
r6 88s L=0.7432 cov=[0.0072, 0.0063] ov=[0.0348, 0.03802] P=6 S=92 arc=0.32 lr=0.18 w_ov=0.116 iou=[0.957, 0.964] acc=11
r7 100s L=0.7293 cov=[0.0073, 0.0061] ov=[0.03402, 0.03742] P=6 S=89 arc=0.40 lr=0.18 w_ov=0.118 iou=[0.958, 0.964] acc=11
r8 114s L=0.7186 cov=[0.0071, 0.0061] ov=[0.03351, 0.03687] P=6 S=86 arc=0.49 lr=0.18 w_ov=0.121 iou=[0.961, 0.964] acc=11
r9 128s L=0.7045 cov=[0.007, 0.0058] ov=[0.03271, 0.03632] P=6 S=81 arc=0.56 lr=0.25 w_ov=0.125 iou=[0.96, 0.966] acc=11
r10 141s L=0.6851 cov=[0.0071, 0.0058] ov=[0.0315, 0.03558] P=6 S=80 arc=0.64 lr=0.25 w_ov=0.128 iou=[0.96, 0.967] acc=8
r11 154s L=0.6616 cov=[0.0068, 0.0059] ov=[0.03044, 0.03431] P=6 S=79 arc=0.67 lr=0.25 w_ov=0.131 iou=[0.961, 0.967] acc=3
r12 166s L=0.6468 cov=[0.0069, 0.0058] ov=[0.02972, 0.03355] P=6 S=78 arc=0.68 lr=0.25 w_ov=0.134 iou=[0.961, 0.967] acc=4
r13 179s L=0.6285 cov=[0.0069, 0.0059] ov=[0.02883, 0.0326] P=6 S=78 arc=0.68 lr=0.25 w_ov=0.138 iou=[0.961, 0.968] acc=4
r14 192s L=0.6108 cov=[0.0069, 0.0055] ov=[0.02796, 0.03174] P=6 S=76 arc=0.72 lr=0.13 w_ov=0.141 iou=[0.96, 0.967] acc=2
r15 204s L=0.5908 cov=[0.0069, 0.0055] ov=[0.02714, 0.03057] P=6 S=76 arc=0.72 lr=0.18 w_ov=0.145 iou=[0.96, 0.967] acc=4
r16 216s L=0.5755 cov=[0.0069, 0.0055] ov=[0.02642, 0.02976] P=6 S=75 arc=0.77 lr=0.18 w_ov=0.148 iou=[0.96, 0.967] acc=5
r17 229s L=0.5621 cov=[0.0069, 0.0055] ov=[0.02582, 0.02903] P=6 S=73 arc=0.82 lr=0.18 w_ov=0.151 iou=[0.96, 0.968] acc=3
r18 242s L=0.5487 cov=[0.0069, 0.0055] ov=[0.0252, 0.02831] P=6 S=72 arc=0.82 lr=0.18 w_ov=0.155 iou=[0.961, 0.968] acc=2
r19 253s L=0.5422 cov=[0.0069, 0.0059] ov=[0.02481, 0.02799] P=6 S=75 arc=0.80 lr=0.25 w_ov=0.159 iou=[0.96, 0.969] acc=7
r20 265s L=0.5288 cov=[0.0069, 0.0054] ov=[0.02425, 0.02728] P=6 S=73 arc=0.85 lr=0.25 w_ov=0.163 iou=[0.961, 0.968] acc=2
r21 277s L=0.5203 cov=[0.0069, 0.0053] ov=[0.02389, 0.02679] P=6 S=73 arc=0.86 lr=0.25 w_ov=0.166 iou=[0.96, 0.969] acc=1
r22 289s L=0.5118 cov=[0.0069, 0.0053] ov=[0.02359, 0.02623] P=6 S=72 arc=0.86 lr=0.25 w_ov=0.17 iou=[0.961, 0.969] acc=3
r23 302s L=0.5068 cov=[0.0071, 0.0055] ov=[0.02362, 0.02566] P=6 S=72 arc=0.85 lr=0.13 w_ov=0.174 iou=[0.96, 0.968] acc=3
r24 316s L=0.4995 cov=[0.0069, 0.0054] ov=[0.02305, 0.02554] P=6 S=71 arc=0.87 lr=0.063 w_ov=0.179 iou=[0.96, 0.969] acc=2
r25 327s L=0.4947 cov=[0.0069, 0.0054] ov=[0.02285, 0.02526] P=6 S=71 arc=0.89 lr=0.13 w_ov=0.183 iou=[0.96, 0.969] acc=0
r26 340s L=0.4897 cov=[0.0069, 0.0054] ov=[0.02261, 0.025] P=6 S=70 arc=0.90 lr=0.13 w_ov=0.187 iou=[0.96, 0.969] acc=3
r27 351s L=0.5326 cov=[0.0069, 0.0053] ov=[0.02468, 0.02722] P=6 S=69 arc=0.90 lr=0.18 w_ov=0.192 iou=[0.959, 0.969] acc=4
r28 363s L=0.4807 cov=[0.0069, 0.0054] ov=[0.02219, 0.02452] P=6 S=71 arc=0.87 lr=0.25 w_ov=0.196 iou=[0.96, 0.969] acc=3
r29 376s L=0.4816 cov=[0.0069, 0.0054] ov=[0.02227, 0.02452] P=6 S=69 arc=0.91 lr=0.13 w_ov=0.201 iou=[0.96, 0.969] acc=2
r30 389s L=0.4704 cov=[0.0069, 0.0054] ov=[0.02184, 0.02384] P=6 S=69 arc=0.91 lr=0.063 w_ov=0.206 iou=[0.96, 0.97] acc=0
r31 402s L=0.4648 cov=[0.007, 0.0054] ov=[0.02155, 0.02356] P=6 S=69 arc=0.91 lr=0.13 w_ov=0.211 iou=[0.96, 0.969] acc=1
r32 415s L=0.4577 cov=[0.007, 0.0054] ov=[0.02122, 0.02317] P=6 S=69 arc=0.93 lr=0.18 w_ov=0.216 iou=[0.96, 0.973] acc=1
r33 428s L=0.4646 cov=[0.0064, 0.0042] ov=[0.02083, 0.02445] P=6 S=69 arc=0.88 lr=0.18 w_ov=0.222 iou=[0.963, 0.977] acc=3
r34 441s L=0.4549 cov=[0.0062, 0.0038] ov=[0.02045, 0.02392] P=6 S=69 arc=0.87 lr=0.088 w_ov=0.227 iou=[0.963, 0.975] acc=2
r35 454s L=0.4485 cov=[0.0059, 0.0038] ov=[0.02023, 0.02352] P=6 S=69 arc=0.88 lr=0.13 w_ov=0.233 iou=[0.965, 0.976] acc=2
r36 468s L=0.4453 cov=[0.0058, 0.0037] ov=[0.02008, 0.02337] P=6 S=69 arc=0.91 lr=0.13 w_ov=0.239 iou=[0.965, 0.975] acc=1
r37 481s L=0.4405 cov=[0.0057, 0.0038] ov=[0.01997, 0.02302] P=6 S=68 arc=0.94 lr=0.13 w_ov=0.245 iou=[0.965, 0.976] acc=1
r38 493s L=0.4344 cov=[0.0056, 0.0037] ov=[0.01979, 0.02259] P=6 S=68 arc=0.94 lr=0.13 w_ov=0.252 iou=[0.965, 0.976] acc=0
r39 505s L=0.4295 cov=[0.0055, 0.0037] ov=[0.01962, 0.02228] P=6 S=66 arc=0.95 lr=0.13 w_ov=0.257 iou=[0.965, 0.976] acc=3
r40 517s L=0.428 cov=[0.0054, 0.0037] ov=[0.0194, 0.02236] P=6 S=66 arc=0.97 lr=0.063 w_ov=0.263 iou=[0.965, 0.975] acc=0
r41 529s L=0.4213 cov=[0.0054, 0.0037] ov=[0.01925, 0.02185] P=6 S=66 arc=0.97 lr=0.088 w_ov=0.27 iou=[0.966, 0.976] acc=1
r42 541s L=0.416 cov=[0.0053, 0.0036] ov=[0.01903, 0.02155] P=6 S=66 arc=0.98 lr=0.088 w_ov=0.276 iou=[0.966, 0.976] acc=0
r43 552s L=0.4111 cov=[0.0053, 0.0037] ov=[0.01888, 0.02121] P=6 S=66 arc=0.98 lr=0.088 w_ov=0.282 iou=[0.967, 0.977] acc=0
r44 564s L=0.406 cov=[0.0053, 0.0037] ov=[0.01869, 0.02089] P=6 S=66 arc=0.97 lr=0.088 w_ov=0.288 iou=[0.966, 0.977] acc=1
r45 576s L=0.4008 cov=[0.0053, 0.0037] ov=[0.01851, 0.02055] P=6 S=64 arc=0.95 lr=0.13 w_ov=0.295 iou=[0.966, 0.976] acc=3
r46 588s L=0.3931 cov=[0.0053, 0.0037] ov=[0.01828, 0.02] P=6 S=63 arc=0.95 lr=0.063 w_ov=0.302 iou=[0.966, 0.976] acc=2
r47 600s L=0.3885 cov=[0.0053, 0.0037] ov=[0.0181, 0.01973] P=6 S=62 arc=0.95 lr=0.063 w_ov=0.309 iou=[0.965, 0.976] acc=1
r48 611s L=0.3778 cov=[0.0054, 0.0038] ov=[0.01771, 0.01904] P=6 S=61 arc=0.92 lr=0.088 w_ov=0.316 iou=[0.966, 0.975] acc=3
r49 623s L=0.3608 cov=[0.0052, 0.0041] ov=[0.01721, 0.01782] P=6 S=61 arc=0.89 lr=0.063 w_ov=0.323 iou=[0.964, 0.975] acc=2
r50 636s L=0.3481 cov=[0.0052, 0.0041] ov=[0.01666, 0.01709] P=6 S=60 arc=0.88 lr=0.063 w_ov=0.331 iou=[0.965, 0.974] acc=2
r51 648s L=0.3333 cov=[0.0054, 0.0041] ov=[0.01603, 0.01622] P=6 S=60 arc=0.90 lr=0.044 w_ov=0.339 iou=[0.965, 0.974] acc=1
r52 659s L=0.3234 cov=[0.0055, 0.0041] ov=[0.01574, 0.01551] P=6 S=60 arc=0.90 lr=0.088 w_ov=0.347 iou=[0.965, 0.975] acc=1
r53 670s L=0.3152 cov=[0.0055, 0.004] ov=[0.01549, 0.01495] P=6 S=60 arc=0.90 lr=0.063 w_ov=0.354 iou=[0.964, 0.976] acc=0
r54 682s L=0.3024 cov=[0.0056, 0.0039] ov=[0.0152, 0.01397] P=6 S=60 arc=0.90 lr=0.088 w_ov=0.362 iou=[0.963, 0.975] acc=0
r55 693s L=0.2864 cov=[0.0056, 0.004] ov=[0.01477, 0.01278] P=6 S=60 arc=0.90 lr=0.13 w_ov=0.37 iou=[0.964, 0.974] acc=1
r56 703s L=0.2727 cov=[0.0057, 0.004] ov=[0.01421, 0.01198] P=6 S=60 arc=0.92 lr=0.13 w_ov=0.378 iou=[0.963, 0.975] acc=0
