r0 20s L=0.8222 cov=[0.0189, 0.0508] ov=[0.03508, 0.03999] P=6 S=105 arc=0.00 lr=0.5 w_ov=0.1 iou=[0.906, 0.827] acc=17
r1 36s L=0.8408 cov=[0.0238, 0.0247] ov=[0.03847, 0.04059] P=6 S=102 arc=0.08 lr=0.5 w_ov=0.104 iou=[0.895, 0.896] acc=16
r2 56s L=0.8327 cov=[0.0176, 0.0178] ov=[0.038, 0.04156] P=6 S=100 arc=0.17 lr=0.25 w_ov=0.107 iou=[0.92, 0.917] acc=13
r3 73s L=0.8243 cov=[0.0135, 0.0169] ov=[0.03748, 0.04175] P=6 S=91 arc=0.24 lr=0.25 w_ov=0.111 iou=[0.931, 0.926] acc=14
r4 91s L=0.7993 cov=[0.0125, 0.0163] ov=[0.03655, 0.04035] P=6 S=89 arc=0.27 lr=0.25 w_ov=0.115 iou=[0.937, 0.927] acc=14
r5 108s L=0.7842 cov=[0.0113, 0.0159] ov=[0.036, 0.03955] P=6 S=87 arc=0.39 lr=0.13 w_ov=0.119 iou=[0.939, 0.929] acc=12
r6 125s L=0.7657 cov=[0.0108, 0.0155] ov=[0.03512, 0.03869] P=6 S=86 arc=0.49 lr=0.13 w_ov=0.123 iou=[0.941, 0.929] acc=6
r7 142s L=0.7555 cov=[0.0105, 0.015] ov=[0.0348, 0.03806] P=6 S=85 arc=0.54 lr=0.13 w_ov=0.127 iou=[0.941, 0.931] acc=9
r8 160s L=0.7589 cov=[0.0103, 0.0134] ov=[0.03499, 0.03838] P=6 S=85 arc=0.60 lr=0.13 w_ov=0.131 iou=[0.942, 0.937] acc=7
r9 177s L=0.7476 cov=[0.0129, 0.0132] ov=[0.0337, 0.03831] P=6 S=86 arc=0.62 lr=0.25 w_ov=0.136 iou=[0.936, 0.939] acc=9
r10 195s L=0.7498 cov=[0.0097, 0.0121] ov=[0.03485, 0.03779] P=6 S=83 arc=0.63 lr=0.35 w_ov=0.141 iou=[0.946, 0.942] acc=8
r11 212s L=0.7569 cov=[0.0109, 0.0116] ov=[0.03591, 0.03738] P=6 S=79 arc=0.66 lr=0.25 w_ov=0.146 iou=[0.941, 0.944] acc=10
r12 227s L=0.7457 cov=[0.0091, 0.0111] ov=[0.03472, 0.0377] P=6 S=77 arc=0.68 lr=0.18 w_ov=0.15 iou=[0.948, 0.949] acc=8
