r0 13s L=1.399 cov=[0.0314, 0.0351] ov=[0.0589, 0.07412] P=9 S=121 arc=0.00 lr=0.5 w_ov=0.1 iou=[0.87, 0.87] acc=19
r1 27s L=1.286 cov=[0.0108, 0.0165] ov=[0.05995, 0.06578] P=7 S=98 arc=0.06 lr=0.5 w_ov=0.103 iou=[0.942, 0.914] acc=15
r2 40s L=1.232 cov=[0.0089, 0.0135] ov=[0.05904, 0.06179] P=6 S=85 arc=0.11 lr=0.18 w_ov=0.105 iou=[0.915, 0.887] acc=17
r3 52s L=1.23 cov=[0.0116, 0.0122] ov=[0.06123, 0.05922] P=6 S=81 arc=0.22 lr=0.25 w_ov=0.108 iou=[0.938, 0.946] acc=9
r4 63s L=1.207 cov=[0.0081, 0.0098] ov=[0.06025, 0.05851] P=6 S=83 arc=0.27 lr=0.35 w_ov=0.111 iou=[0.949, 0.954] acc=16
r5 75s L=1.107 cov=[0.0076, 0.0087] ov=[0.055, 0.05397] P=6 S=82 arc=0.39 lr=0.35 w_ov=0.113 iou=[0.955, 0.959] acc=9
r6 90s L=1.074 cov=[0.0071, 0.0084] ov=[0.0527, 0.05304] P=6 S=80 arc=0.41 lr=0.18 w_ov=0.116 iou=[0.955, 0.957] acc=7
r7 101s L=1.015 cov=[0.0073, 0.0077] ov=[0.05047, 0.0494] P=6 S=79 arc=0.46 lr=0.25 w_ov=0.119 iou=[0.952, 0.961] acc=13
r8 113s L=0.989 cov=[0.0068, 0.0074] ov=[0.04915, 0.0482] P=6 S=77 arc=0.55 lr=0.25 w_ov=0.121 iou=[0.957, 0.963] acc=9
r9 127s L=0.9525 cov=[0.0065, 0.0073] ov=[0.04697, 0.04677] P=6 S=76 arc=0.63 lr=0.35 w_ov=0.124 iou=[0.958, 0.964] acc=7
r10 140s L=0.9008 cov=[0.0062, 0.0074] ov=[0.04424, 0.04434] P=6 S=75 arc=0.69 lr=0.5 w_ov=0.128 iou=[0.959, 0.963] acc=4
r11 153s L=0.8884 cov=[0.0065, 0.0074] ov=[0.04279, 0.04453] P=6 S=74 arc=0.72 lr=0.25 w_ov=0.131 iou=[0.959, 0.962] acc=5
r12 169s L=0.8351 cov=[0.0061, 0.0071] ov=[0.04069, 0.04136] P=6 S=74 arc=0.76 lr=0.13 w_ov=0.134 iou=[0.961, 0.964] acc=5
r13 182s L=0.8042 cov=[0.0061, 0.0072] ov=[0.03877, 0.04019] P=6 S=73 arc=0.82 lr=0.25 w_ov=0.138 iou=[0.963, 0.965] acc=2
r14 197s L=0.7689 cov=[0.006, 0.0073] ov=[0.0367, 0.03873] P=6 S=72 arc=0.83 lr=0.25 w_ov=0.142 iou=[0.961, 0.965] acc=2
r15 212s L=0.7433 cov=[0.006, 0.0073] ov=[0.03518, 0.03769] P=6 S=71 arc=0.85 lr=0.25 w_ov=0.146 iou=[0.961, 0.964] acc=4
r16 225s L=0.7203 cov=[0.0061, 0.0073] ov=[0.03386, 0.0367] P=6 S=70 arc=0.89 lr=0.25 w_ov=0.15 iou=[0.962, 0.962] acc=3
r17 238s L=0.6932 cov=[0.0061, 0.0074] ov=[0.03234, 0.03551] P=6 S=70 arc=0.91 lr=0.25 w_ov=0.154 iou=[0.962, 0.963] acc=2
r18 250s L=0.6712 cov=[0.0061, 0.0074] ov=[0.0312, 0.03445] P=6 S=70 arc=0.93 lr=0.25 w_ov=0.158 iou=[0.962, 0.963] acc=2
r19 263s L=0.6606 cov=[0.0061, 0.0074] ov=[0.03074, 0.03384] P=6 S=67 arc=0.93 lr=0.25 w_ov=0.162 iou=[0.961, 0.954] acc=4
r20 275s L=0.5908 cov=[0.0064, 0.0093] ov=[0.02588, 0.0315] P=6 S=67 arc=0.94 lr=0.35 w_ov=0.166 iou=[0.958, 0.955] acc=2
r21 290s L=0.5596 cov=[0.0063, 0.0091] ov=[0.02431, 0.02998] P=6 S=66 arc=0.89 lr=0.35 w_ov=0.17 iou=[0.958, 0.955] acc=5
r22 301s L=0.5323 cov=[0.0064, 0.0091] ov=[0.02285, 0.0287] P=6 S=66 arc=0.89 lr=0.35 w_ov=0.174 iou=[0.959, 0.955] acc=2
r23 312s L=0.5168 cov=[0.0065, 0.0088] ov=[0.02219, 0.02782] P=6 S=63 arc=0.87 lr=0.35 w_ov=0.178 iou=[0.956, 0.956] acc=8
r24 325s L=0.4996 cov=[0.0065, 0.0088] ov=[0.02134, 0.02697] P=6 S=62 arc=0.90 lr=0.35 w_ov=0.182 iou=[0.96, 0.956] acc=2
r25 337s L=0.482 cov=[0.0065, 0.0086] ov=[0.0206, 0.02597] P=6 S=62 arc=0.90 lr=0.35 w_ov=0.186 iou=[0.959, 0.957] acc=2
r26 352s L=0.469 cov=[0.0065, 0.0086] ov=[0.01993, 0.02534] P=6 S=63 arc=0.87 lr=0.35 w_ov=0.191 iou=[0.959, 0.958] acc=5
r27 365s L=0.4698 cov=[0.0066, 0.0087] ov=[0.01992, 0.02541] P=6 S=63 arc=0.87 lr=0.13 w_ov=0.196 iou=[0.958, 0.959] acc=2
r28 376s L=0.4631 cov=[0.0067, 0.0083] ov=[0.01948, 0.02522] P=6 S=62 arc=0.89 lr=0.18 w_ov=0.201 iou=[0.958, 0.959] acc=2
r29 388s L=0.4382 cov=[0.0066, 0.0082] ov=[0.0187, 0.02352] P=6 S=62 arc=0.90 lr=0.18 w_ov=0.206 iou=[0.959, 0.958] acc=1
r30 400s L=0.4309 cov=[0.0066, 0.0082] ov=[0.01837, 0.02312] P=6 S=62 arc=0.92 lr=0.25 w_ov=0.211 iou=[0.96, 0.959] acc=1
r31 411s L=0.4209 cov=[0.0066, 0.0082] ov=[0.01779, 0.0227] P=6 S=61 arc=0.93 lr=0.35 w_ov=0.216 iou=[0.959, 0.959] acc=2
r32 425s L=0.4146 cov=[0.0066, 0.0081] ov=[0.01759, 0.02228] P=6 S=61 arc=0.93 lr=0.13 w_ov=0.22 iou=[0.959, 0.96] acc=1
r33 437s L=0.4064 cov=[0.0066, 0.0082] ov=[0.01706, 0.02198] P=6 S=61 arc=0.95 lr=0.18 w_ov=0.226 iou=[0.959, 0.96] acc=1
r34 449s L=0.3982 cov=[0.0066, 0.0082] ov=[0.01645, 0.02177] P=6 S=61 arc=0.97 lr=0.25 w_ov=0.231 iou=[0.959, 0.959] acc=0
r35 461s L=0.3895 cov=[0.0067, 0.0082] ov=[0.01586, 0.02148] P=6 S=61 arc=0.97 lr=0.13 w_ov=0.237 iou=[0.959, 0.959] acc=1
r36 475s L=0.3852 cov=[0.0066, 0.0082] ov=[0.01565, 0.02126] P=6 S=61 arc=0.98 lr=0.063 w_ov=0.242 iou=[0.959, 0.959] acc=0
r37 488s L=0.3812 cov=[0.0067, 0.0083] ov=[0.01542, 0.02109] P=6 S=59 arc=0.97 lr=0.25 w_ov=0.249 iou=[0.958, 0.959] acc=3
r38 499s L=0.3754 cov=[0.0068, 0.0084] ov=[0.01504, 0.02086] P=6 S=59 arc=0.97 lr=0.13 w_ov=0.255 iou=[0.957, 0.958] acc=0
r39 511s L=0.3743 cov=[0.0067, 0.0083] ov=[0.01504, 0.02077] P=6 S=59 arc=0.97 lr=0.18 w_ov=0.261 iou=[0.957, 0.959] acc=0
r40 523s L=0.3723 cov=[0.0067, 0.0083] ov=[0.01491, 0.0207] P=6 S=59 arc=0.97 lr=0.088 w_ov=0.266 iou=[0.957, 0.958] acc=0
r41 534s L=0.3713 cov=[0.0067, 0.0083] ov=[0.01484, 0.02066] P=6 S=59 arc=0.97 lr=0.0078 w_ov=0.273 iou=[0.957, 0.958] acc=0
r42 547s L=0.3711 cov=[0.0067, 0.0083] ov=[0.01483, 0.02065] P=6 S=59 arc=0.97 lr=0.0002 w_ov=0.279 iou=[0.957, 0.958] acc=1
r43 557s L=0.3711 cov=[0.0067, 0.0083] ov=[0.01483, 0.02065] P=6 S=58 arc=0.97 lr=0.0002 w_ov=0.285 iou=[0.957, 0.958] acc=2
r44 569s L=0.37 cov=[0.0067, 0.0084] ov=[0.01472, 0.02066] P=6 S=58 arc=0.97 lr=0.0002 w_ov=0.291 iou=[0.957, 0.958] acc=0
