r0 13s L=1.866 cov=[0.0136, 0.0469] ov=[0.07444, 0.106] P=6 S=73 arc=0.00 lr=0.5 w_ov=0.1 iou=[0.944, 0.867] acc=14
r1 25s L=1.616 cov=[0.0133, 0.0163] ov=[0.07152, 0.08694] P=6 S=74 arc=0.14 lr=0.5 w_ov=0.103 iou=[0.946, 0.934] acc=12
r2 38s L=1.466 cov=[0.0117, 0.0144] ov=[0.06505, 0.07875] P=6 S=68 arc=0.21 lr=0.18 w_ov=0.105 iou=[0.95, 0.94] acc=12
r3 51s L=1.306 cov=[0.0122, 0.0122] ov=[0.05756, 0.07046] P=6 S=65 arc=0.28 lr=0.18 w_ov=0.108 iou=[0.951, 0.947] acc=12
r4 65s L=1.224 cov=[0.0122, 0.0106] ov=[0.05454, 0.06549] P=6 S=63 arc=0.43 lr=0.18 w_ov=0.11 iou=[0.952, 0.95] acc=8
r5 79s L=1.17 cov=[0.0121, 0.0097] ov=[0.05218, 0.06255] P=6 S=62 arc=0.53 lr=0.18 w_ov=0.113 iou=[0.953, 0.954] acc=4
r6 92s L=1.137 cov=[0.0121, 0.0093] ov=[0.05111, 0.06036] P=6 S=62 arc=0.56 lr=0.18 w_ov=0.116 iou=[0.953, 0.955] acc=8
r7 106s L=1.109 cov=[0.0122, 0.009] ov=[0.04982, 0.05884] P=6 S=62 arc=0.68 lr=0.25 w_ov=0.119 iou=[0.952, 0.956] acc=3
r8 120s L=1.069 cov=[0.013, 0.009] ov=[0.04762, 0.05698] P=6 S=61 arc=0.67 lr=0.25 w_ov=0.123 iou=[0.951, 0.954] acc=14
r9 133s L=1.002 cov=[0.012, 0.0093] ov=[0.04405, 0.05387] P=6 S=60 arc=0.68 lr=0.25 w_ov=0.126 iou=[0.953, 0.956] acc=6
r10 146s L=0.9514 cov=[0.0124, 0.0092] ov=[0.04121, 0.05165] P=6 S=59 arc=0.71 lr=0.13 w_ov=0.129 iou=[0.951, 0.957] acc=6
r11 159s L=0.9035 cov=[0.0118, 0.009] ov=[0.03933, 0.04881] P=6 S=60 arc=0.75 lr=0.18 w_ov=0.132 iou=[0.954, 0.958] acc=6
r12 172s L=0.8555 cov=[0.0119, 0.0087] ov=[0.03694, 0.04644] P=6 S=61 arc=0.80 lr=0.25 w_ov=0.136 iou=[0.953, 0.959] acc=4
r13 184s L=0.819 cov=[0.0121, 0.0084] ov=[0.03551, 0.04422] P=6 S=61 arc=0.79 lr=0.25 w_ov=0.139 iou=[0.952, 0.961] acc=10
r14 197s L=0.7566 cov=[0.0134, 0.0083] ov=[0.03173, 0.04164] P=6 S=63 arc=0.75 lr=0.25 w_ov=0.142 iou=[0.944, 0.961] acc=12
r15 211s L=0.7035 cov=[0.013, 0.0083] ov=[0.02918, 0.03892] P=6 S=61 arc=0.80 lr=0.13 w_ov=0.146 iou=[0.946, 0.961] acc=5
