r0 11s L=1.879 cov=[0.0162, 0.0405] ov=[0.08866, 0.09343] P=8 S=73 arc=0.00 lr=0.5 w_ov=0.1 iou=[0.937, 0.877] acc=22
r1 22s L=1.527 cov=[0.0102, 0.024] ov=[0.07258, 0.07651] P=7 S=68 arc=0.12 lr=0.5 w_ov=0.102 iou=[0.956, 0.916] acc=15
r2 32s L=1.384 cov=[0.0096, 0.0206] ov=[0.0648, 0.07039] P=6 S=61 arc=0.28 lr=0.5 w_ov=0.104 iou=[0.952, 0.923] acc=20
r3 43s L=1.171 cov=[0.0113, 0.0171] ov=[0.05596, 0.0582] P=6 S=62 arc=0.34 lr=0.5 w_ov=0.106 iou=[0.952, 0.932] acc=13
r4 55s L=1.023 cov=[0.0098, 0.0124] ov=[0.04848, 0.05151] P=6 S=60 arc=0.40 lr=0.5 w_ov=0.109 iou=[0.957, 0.945] acc=8
r5 65s L=0.9677 cov=[0.009, 0.0107] ov=[0.04541, 0.04928] P=6 S=59 arc=0.49 lr=0.25 w_ov=0.111 iou=[0.961, 0.949] acc=6
r6 76s L=0.9039 cov=[0.0088, 0.0099] ov=[0.04217, 0.04623] P=6 S=58 arc=0.53 lr=0.25 w_ov=0.113 iou=[0.962, 0.953] acc=8
r7 89s L=0.8822 cov=[0.0086, 0.0094] ov=[0.04112, 0.04518] P=6 S=57 arc=0.60 lr=0.25 w_ov=0.116 iou=[0.961, 0.954] acc=6
r8 101s L=0.8523 cov=[0.0086, 0.009] ov=[0.03953, 0.04382] P=6 S=56 arc=0.62 lr=0.25 w_ov=0.119 iou=[0.96, 0.955] acc=5
r9 113s L=0.8364 cov=[0.0085, 0.0089] ov=[0.03854, 0.04325] P=6 S=57 arc=0.61 lr=0.25 w_ov=0.121 iou=[0.962, 0.956] acc=4
r10 125s L=0.8141 cov=[0.0085, 0.0088] ov=[0.03732, 0.04224] P=6 S=57 arc=0.67 lr=0.25 w_ov=0.124 iou=[0.963, 0.956] acc=6
r11 136s L=0.8037 cov=[0.0085, 0.0086] ov=[0.03681, 0.04173] P=6 S=57 arc=0.77 lr=0.13 w_ov=0.127 iou=[0.962, 0.956] acc=2
r12 147s L=0.7929 cov=[0.0085, 0.0086] ov=[0.03646, 0.041] P=6 S=56 arc=0.82 lr=0.18 w_ov=0.13 iou=[0.962, 0.956] acc=2
r13 157s L=0.7824 cov=[0.0086, 0.0086] ov=[0.03599, 0.04041] P=6 S=56 arc=0.84 lr=0.18 w_ov=0.133 iou=[0.961, 0.956] acc=2
r14 168s L=0.7763 cov=[0.0086, 0.0086] ov=[0.03576, 0.04004] P=6 S=55 arc=0.87 lr=0.088 w_ov=0.135 iou=[0.961, 0.956] acc=1
r15 179s L=0.7661 cov=[0.0085, 0.0086] ov=[0.03516, 0.03961] P=6 S=55 arc=0.87 lr=0.13 w_ov=0.138 iou=[0.961, 0.956] acc=1
r16 190s L=0.7613 cov=[0.0085, 0.0086] ov=[0.03488, 0.03941] P=6 S=55 arc=0.89 lr=0.18 w_ov=0.141 iou=[0.961, 0.956] acc=2
r17 201s L=0.7551 cov=[0.0085, 0.0087] ov=[0.03465, 0.03903] P=6 S=55 arc=0.91 lr=0.088 w_ov=0.144 iou=[0.962, 0.956] acc=3
r18 212s L=0.7441 cov=[0.0086, 0.0086] ov=[0.0341, 0.03847] P=6 S=56 arc=0.93 lr=0.13 w_ov=0.147 iou=[0.961, 0.956] acc=3
r19 222s L=0.7269 cov=[0.0085, 0.0082] ov=[0.0329, 0.038] P=6 S=57 arc=0.95 lr=0.13 w_ov=0.15 iou=[0.962, 0.957] acc=1
r20 233s L=0.7329 cov=[0.0086, 0.0077] ov=[0.0333, 0.03823] P=6 S=57 arc=0.91 lr=0.18 w_ov=0.153 iou=[0.962, 0.959] acc=3
r21 244s L=0.6984 cov=[0.0086, 0.0072] ov=[0.03149, 0.03665] P=6 S=59 arc=0.93 lr=0.25 w_ov=0.156 iou=[0.961, 0.959] acc=2
r22 255s L=0.685 cov=[0.0086, 0.0069] ov=[0.03078, 0.03604] P=6 S=58 arc=0.91 lr=0.088 w_ov=0.16 iou=[0.961, 0.962] acc=4
r23 267s L=0.6758 cov=[0.0087, 0.0068] ov=[0.03031, 0.03561] P=6 S=57 arc=0.93 lr=0.13 w_ov=0.163 iou=[0.961, 0.962] acc=4
r24 278s L=0.6365 cov=[0.0087, 0.0064] ov=[0.02841, 0.03362] P=6 S=57 arc=0.93 lr=0.18 w_ov=0.167 iou=[0.961, 0.964] acc=3
r25 289s L=0.6114 cov=[0.0087, 0.0064] ov=[0.02693, 0.03259] P=6 S=57 arc=0.95 lr=0.18 w_ov=0.171 iou=[0.962, 0.963] acc=1
r26 300s L=0.5945 cov=[0.0086, 0.0063] ov=[0.02604, 0.03179] P=6 S=57 arc=0.91 lr=0.25 w_ov=0.174 iou=[0.961, 0.963] acc=3
r27 310s L=0.581 cov=[0.0088, 0.0064] ov=[0.02551, 0.03095] P=6 S=57 arc=0.93 lr=0.13 w_ov=0.178 iou=[0.963, 0.963] acc=1
r28 322s L=0.5674 cov=[0.0086, 0.0063] ov=[0.02477, 0.03037] P=6 S=57 arc=0.95 lr=0.18 w_ov=0.181 iou=[0.961, 0.962] acc=1
r29 333s L=0.5599 cov=[0.0085, 0.0064] ov=[0.02445, 0.02994] P=6 S=57 arc=0.93 lr=0.25 w_ov=0.185 iou=[0.961, 0.963] acc=6
r30 344s L=0.555 cov=[0.0084, 0.0064] ov=[0.02429, 0.02961] P=6 S=57 arc=0.95 lr=0.25 w_ov=0.189 iou=[0.961, 0.964] acc=1
r31 356s L=0.538 cov=[0.0084, 0.0064] ov=[0.0235, 0.0287] P=6 S=57 arc=0.93 lr=0.35 w_ov=0.194 iou=[0.961, 0.963] acc=2
r32 368s L=0.5285 cov=[0.0085, 0.0063] ov=[0.02309, 0.02816] P=6 S=57 arc=0.95 lr=0.13 w_ov=0.198 iou=[0.96, 0.963] acc=0
r33 380s L=0.5187 cov=[0.0086, 0.0063] ov=[0.02287, 0.02739] P=6 S=57 arc=0.91 lr=0.25 w_ov=0.203 iou=[0.961, 0.963] acc=3
r34 392s L=0.5116 cov=[0.0086, 0.0063] ov=[0.02252, 0.02704] P=6 S=57 arc=0.93 lr=0.088 w_ov=0.208 iou=[0.96, 0.964] acc=2
r35 403s L=0.5088 cov=[0.0086, 0.0063] ov=[0.02245, 0.02682] P=6 S=57 arc=0.96 lr=0.13 w_ov=0.212 iou=[0.961, 0.963] acc=0
