r0 12s L=1.618 cov=[0.0173, 0.0564] ov=[0.05623, 0.09809] P=6 S=67 arc=0.00 lr=0.5 w_ov=0.1 iou=[0.935, 0.83] acc=16
r1 25s L=1.388 cov=[0.0176, 0.0413] ov=[0.04728, 0.08552] P=6 S=72 arc=0.11 lr=0.71 w_ov=0.102 iou=[0.93, 0.871] acc=19
r2 36s L=1.237 cov=[0.012, 0.034] ov=[0.04518, 0.07381] P=6 S=72 arc=0.19 lr=0.5 w_ov=0.105 iou=[0.95, 0.888] acc=13
r3 47s L=1.167 cov=[0.0105, 0.0298] ov=[0.04393, 0.06859] P=6 S=70 arc=0.23 lr=0.25 w_ov=0.107 iou=[0.955, 0.897] acc=18
r4 59s L=1.136 cov=[0.0113, 0.0248] ov=[0.04398, 0.0659] P=6 S=69 arc=0.41 lr=0.25 w_ov=0.109 iou=[0.951, 0.914] acc=10
r5 78s L=1.05 cov=[0.0106, 0.0223] ov=[0.04089, 0.06075] P=6 S=70 arc=0.47 lr=0.25 w_ov=0.112 iou=[0.956, 0.918] acc=13
r6 94s L=0.9888 cov=[0.0089, 0.0155] ov=[0.04229, 0.05403] P=6 S=66 arc=0.59 lr=0.25 w_ov=0.116 iou=[0.959, 0.936] acc=9
r7 109s L=0.9373 cov=[0.0082, 0.012] ov=[0.04263, 0.04894] P=6 S=66 arc=0.59 lr=0.35 w_ov=0.12 iou=[0.961, 0.945] acc=8
r8 122s L=0.8804 cov=[0.0077, 0.0103] ov=[0.0417, 0.04441] P=6 S=65 arc=0.60 lr=0.35 w_ov=0.123 iou=[0.964, 0.947] acc=8
r9 137s L=0.8038 cov=[0.0071, 0.0093] ov=[0.0386, 0.04] P=6 S=66 arc=0.61 lr=0.18 w_ov=0.127 iou=[0.966, 0.956] acc=6
r10 154s L=0.7652 cov=[0.0069, 0.0091] ov=[0.03688, 0.03791] P=6 S=67 arc=0.63 lr=0.13 w_ov=0.13 iou=[0.966, 0.956] acc=3
