r0 12s L=1.798 cov=[0.0104, 0.0475] ov=[0.09073, 0.08308] P=6 S=72 arc=0.00 lr=0.5 w_ov=0.1 iou=[0.954, 0.821] acc=10
r1 23s L=1.566 cov=[0.005, 0.0286] ov=[0.0797, 0.07337] P=6 S=72 arc=0.10 lr=0.71 w_ov=0.102 iou=[0.971, 0.908] acc=13
r2 34s L=1.348 cov=[0.0161, 0.0225] ov=[0.06257, 0.06821] P=6 S=76 arc=0.17 lr=0.71 w_ov=0.105 iou=[0.934, 0.922] acc=17
r3 46s L=1.108 cov=[0.007, 0.0182] ov=[0.05523, 0.05294] P=6 S=75 arc=0.20 lr=0.5 w_ov=0.107 iou=[0.963, 0.931] acc=8
r4 59s L=1.023 cov=[0.0045, 0.0159] ov=[0.05237, 0.0478] P=6 S=75 arc=0.19 lr=0.35 w_ov=0.109 iou=[0.972, 0.937] acc=18
r5 71s L=0.8746 cov=[0.0039, 0.0141] ov=[0.04345, 0.04207] P=6 S=76 arc=0.37 lr=0.35 w_ov=0.112 iou=[0.977, 0.939] acc=12
r6 83s L=0.8763 cov=[0.0037, 0.0102] ov=[0.04335, 0.04275] P=6 S=75 arc=0.43 lr=0.18 w_ov=0.115 iou=[0.977, 0.951] acc=15
r7 94s L=0.753 cov=[0.0034, 0.0093] ov=[0.03681, 0.03709] P=6 S=75 arc=0.53 lr=0.25 w_ov=0.117 iou=[0.979, 0.953] acc=12
r8 109s L=0.6767 cov=[0.0036, 0.0073] ov=[0.03427, 0.03217] P=6 S=75 arc=0.63 lr=0.35 w_ov=0.12 iou=[0.978, 0.961] acc=7
r9 123s L=0.5938 cov=[0.0035, 0.0063] ov=[0.02948, 0.02878] P=6 S=71 arc=0.70 lr=0.35 w_ov=0.123 iou=[0.977, 0.962] acc=6
r10 136s L=0.5513 cov=[0.0033, 0.0059] ov=[0.02734, 0.02674] P=6 S=69 arc=0.74 lr=0.25 w_ov=0.127 iou=[0.978, 0.965] acc=6
r11 150s L=0.4963 cov=[0.0035, 0.0056] ov=[0.02456, 0.02403] P=6 S=68 arc=0.78 lr=0.25 w_ov=0.13 iou=[0.978, 0.966] acc=2
r12 163s L=0.5154 cov=[0.0033, 0.0052] ov=[0.02612, 0.02444] P=6 S=68 arc=0.78 lr=0.13 w_ov=0.133 iou=[0.979, 0.967] acc=2
r13 176s L=0.4527 cov=[0.0039, 0.0053] ov=[0.0224, 0.02182] P=6 S=70 arc=0.80 lr=0.35 w_ov=0.137 iou=[0.976, 0.967] acc=10
r14 189s L=0.4333 cov=[0.0035, 0.0051] ov=[0.02189, 0.02045] P=6 S=70 arc=0.86 lr=0.35 w_ov=0.14 iou=[0.979, 0.969] acc=4
r15 202s L=0.4233 cov=[0.0035, 0.0049] ov=[0.02133, 0.02002] P=6 S=69 arc=0.90 lr=0.13 w_ov=0.144 iou=[0.978, 0.969] acc=1
