r0 13s L=1.59 cov=[0.0258, 0.0621] ov=[0.06602, 0.08406] P=8 S=78 arc=0.00 lr=1 w_ov=0.1 iou=[0.896, 0.81] acc=18
r1 26s L=1.765 cov=[0.0187, 0.0425] ov=[0.07972, 0.09053] P=6 S=73 arc=0.08 lr=0.71 w_ov=0.103 iou=[0.926, 0.868] acc=15
r2 44s L=1.223 cov=[0.0206, 0.036] ov=[0.06049, 0.05606] P=6 S=74 arc=0.12 lr=0.71 w_ov=0.105 iou=[0.916, 0.889] acc=9
r3 55s L=1.031 cov=[0.0127, 0.0237] ov=[0.04626, 0.0531] P=6 S=71 arc=0.17 lr=0.71 w_ov=0.109 iou=[0.946, 0.913] acc=16
r4 66s L=0.9187 cov=[0.0123, 0.015] ov=[0.04429, 0.04472] P=6 S=79 arc=0.20 lr=0.71 w_ov=0.111 iou=[0.948, 0.938] acc=19
r5 80s L=0.8816 cov=[0.008, 0.0124] ov=[0.04224, 0.04374] P=6 S=76 arc=0.29 lr=0.25 w_ov=0.113 iou=[0.962, 0.945] acc=12
r6 94s L=0.7954 cov=[0.0077, 0.011] ov=[0.03761, 0.03993] P=6 S=76 arc=0.38 lr=0.25 w_ov=0.117 iou=[0.963, 0.949] acc=8
r7 108s L=0.7377 cov=[0.0076, 0.0093] ov=[0.03545, 0.03649] P=6 S=74 arc=0.43 lr=0.25 w_ov=0.12 iou=[0.951, 0.946] acc=11
r8 123s L=0.669 cov=[0.0074, 0.0079] ov=[0.03417, 0.03107] P=6 S=72 arc=0.53 lr=0.35 w_ov=0.123 iou=[0.965, 0.96] acc=5
r9 136s L=0.574 cov=[0.0071, 0.007] ov=[0.02852, 0.02734] P=6 S=71 arc=0.56 lr=0.35 w_ov=0.127 iou=[0.965, 0.962] acc=8
r10 151s L=0.5436 cov=[0.0072, 0.0066] ov=[0.02625, 0.02659] P=6 S=72 arc=0.65 lr=0.35 w_ov=0.13 iou=[0.965, 0.962] acc=4
r11 165s L=0.5349 cov=[0.0074, 0.0065] ov=[0.02707, 0.0249] P=6 S=73 arc=0.71 lr=0.35 w_ov=0.134 iou=[0.967, 0.962] acc=5
r12 182s L=0.5849 cov=[0.0069, 0.0057] ov=[0.02851, 0.02859] P=6 S=69 arc=0.67 lr=0.25 w_ov=0.137 iou=[0.967, 0.964] acc=7
r13 197s L=0.4712 cov=[0.0068, 0.0054] ov=[0.02231, 0.02346] P=6 S=68 arc=0.69 lr=0.25 w_ov=0.142 iou=[0.967, 0.967] acc=4
r14 214s L=0.4641 cov=[0.0068, 0.0052] ov=[0.02187, 0.02321] P=6 S=68 arc=0.72 lr=0.13 w_ov=0.146 iou=[0.968, 0.967] acc=5
r15 229s L=0.4553 cov=[0.0068, 0.005] ov=[0.02141, 0.02282] P=6 S=68 arc=0.76 lr=0.25 w_ov=0.151 iou=[0.967, 0.968] acc=2
r16 245s L=0.4521 cov=[0.0068, 0.0049] ov=[0.02131, 0.02262] P=6 S=68 arc=0.78 lr=0.25 w_ov=0.155 iou=[0.968, 0.968] acc=0
r17 259s L=0.4439 cov=[0.0068, 0.0048] ov=[0.02087, 0.02224] P=6 S=68 arc=0.78 lr=0.25 w_ov=0.16 iou=[0.968, 0.969] acc=2
r18 272s L=0.4394 cov=[0.0067, 0.0048] ov=[0.02067, 0.02198] P=6 S=65 arc=0.82 lr=0.13 w_ov=0.164 iou=[0.968, 0.969] acc=3
r19 287s L=0.4301 cov=[0.0067, 0.0048] ov=[0.02008, 0.02166] P=6 S=66 arc=0.80 lr=0.18 w_ov=0.169 iou=[0.968, 0.969] acc=3
r20 300s L=0.4222 cov=[0.0067, 0.0046] ov=[0.01963, 0.02133] P=6 S=66 arc=0.83 lr=0.18 w_ov=0.174 iou=[0.968, 0.969] acc=3
r21 314s L=0.4107 cov=[0.0067, 0.0046] ov=[0.0191, 0.02071] P=6 S=66 arc=0.86 lr=0.25 w_ov=0.178 iou=[0.968, 0.969] acc=4
r22 329s L=0.4022 cov=[0.0076, 0.0042] ov=[0.01863, 0.02028] P=6 S=64 arc=0.89 lr=0.35 w_ov=0.183 iou=[0.965, 0.971] acc=1
