r0 17s L=3.188 cov=[0.0215, 0.0482] ov=[0.1394, 0.17221] P=8 S=87 arc=0.00 lr=0.5 w_ov=0.1 iou=[0.927, 0.839] acc=14
r1 32s L=2.512 cov=[0.0154, 0.0252] ov=[0.11153, 0.13541] P=7 S=75 arc=0.07 lr=0.71 w_ov=0.103 iou=[0.938, 0.915] acc=14
r2 45s L=2.522 cov=[0.0117, 0.0199] ov=[0.11397, 0.1349] P=6 S=66 arc=0.12 lr=0.25 w_ov=0.106 iou=[0.942, 0.929] acc=20
r3 59s L=2.391 cov=[0.0128, 0.0183] ov=[0.10857, 0.12726] P=6 S=66 arc=0.30 lr=0.18 w_ov=0.109 iou=[0.95, 0.933] acc=17
r4 75s L=2.27 cov=[0.0116, 0.0173] ov=[0.10282, 0.12114] P=6 S=67 arc=0.49 lr=0.13 w_ov=0.112 iou=[0.952, 0.936] acc=8
r5 91s L=2.181 cov=[0.0114, 0.0172] ov=[0.09872, 0.11644] P=6 S=66 arc=0.53 lr=0.18 w_ov=0.115 iou=[0.955, 0.936] acc=7
r6 107s L=2.086 cov=[0.0112, 0.0167] ov=[0.09417, 0.1115] P=6 S=67 arc=0.54 lr=0.18 w_ov=0.119 iou=[0.956, 0.939] acc=6
r7 124s L=2.008 cov=[0.0111, 0.0163] ov=[0.0907, 0.10721] P=6 S=67 arc=0.60 lr=0.18 w_ov=0.123 iou=[0.956, 0.939] acc=4
r8 141s L=1.885 cov=[0.011, 0.0158] ov=[0.08462, 0.10106] P=6 S=68 arc=0.66 lr=0.18 w_ov=0.127 iou=[0.957, 0.94] acc=3
r9 156s L=1.818 cov=[0.0111, 0.0161] ov=[0.08133, 0.09758] P=6 S=64 arc=0.72 lr=0.088 w_ov=0.131 iou=[0.951, 0.936] acc=6
r10 171s L=1.664 cov=[0.0115, 0.0165] ov=[0.07395, 0.08949] P=6 S=64 arc=0.73 lr=0.13 w_ov=0.135 iou=[0.954, 0.941] acc=7
r11 186s L=1.563 cov=[0.0117, 0.0163] ov=[0.06829, 0.08509] P=6 S=62 arc=0.79 lr=0.13 w_ov=0.139 iou=[0.955, 0.94] acc=6
r12 200s L=1.501 cov=[0.0117, 0.0162] ov=[0.06465, 0.08249] P=6 S=62 arc=0.81 lr=0.18 w_ov=0.143 iou=[0.955, 0.941] acc=6
r13 215s L=1.459 cov=[0.0118, 0.016] ov=[0.06254, 0.08051] P=6 S=64 arc=0.81 lr=0.25 w_ov=0.147 iou=[0.955, 0.942] acc=6
r14 231s L=1.431 cov=[0.0119, 0.0156] ov=[0.06118, 0.07905] P=6 S=64 arc=0.83 lr=0.088 w_ov=0.151 iou=[0.955, 0.942] acc=4
r15 245s L=1.389 cov=[0.0119, 0.0152] ov=[0.05913, 0.07698] P=6 S=64 arc=0.84 lr=0.13 w_ov=0.156 iou=[0.955, 0.944] acc=2
r16 260s L=1.352 cov=[0.012, 0.015] ov=[0.0573, 0.07511] P=6 S=64 arc=0.86 lr=0.13 w_ov=0.16 iou=[0.955, 0.944] acc=3
r17 275s L=1.328 cov=[0.0121, 0.0149] ov=[0.05605, 0.07392] P=6 S=65 arc=0.89 lr=0.18 w_ov=0.165 iou=[0.954, 0.942] acc=3
r18 291s L=1.303 cov=[0.012, 0.0148] ov=[0.05478, 0.0727] P=6 S=66 arc=0.89 lr=0.18 w_ov=0.17 iou=[0.954, 0.942] acc=2
r19 307s L=1.269 cov=[0.012, 0.0146] ov=[0.05305, 0.07111] P=6 S=66 arc=0.88 lr=0.18 w_ov=0.175 iou=[0.955, 0.942] acc=2
r20 324s L=1.228 cov=[0.0118, 0.0148] ov=[0.05094, 0.06907] P=6 S=66 arc=0.86 lr=0.18 w_ov=0.18 iou=[0.955, 0.942] acc=3
r21 339s L=1.199 cov=[0.0117, 0.0146] ov=[0.0498, 0.06737] P=6 S=66 arc=0.89 lr=0.088 w_ov=0.186 iou=[0.953, 0.942] acc=4
r22 354s L=1.169 cov=[0.0118, 0.0144] ov=[0.04838, 0.06573] P=6 S=66 arc=0.95 lr=0.088 w_ov=0.192 iou=[0.954, 0.943] acc=0
r23 369s L=1.141 cov=[0.0118, 0.0144] ov=[0.04699, 0.06437] P=6 S=66 arc=0.94 lr=0.088 w_ov=0.197 iou=[0.954, 0.943] acc=2
r24 384s L=1.113 cov=[0.0122, 0.0142] ov=[0.04587, 0.06267] P=6 S=65 arc=0.92 lr=0.13 w_ov=0.203 iou=[0.952, 0.943] acc=3
r25 400s L=1.063 cov=[0.0121, 0.0142] ov=[0.04345, 0.06005] P=6 S=65 arc=0.92 lr=0.18 w_ov=0.209 iou=[0.953, 0.942] acc=0
r26 415s L=1.029 cov=[0.0123, 0.0141] ov=[0.04177, 0.05842] P=6 S=65 arc=0.91 lr=0.18 w_ov=0.215 iou=[0.953, 0.943] acc=3
r27 431s L=1.009 cov=[0.0123, 0.0142] ov=[0.04069, 0.05739] P=6 S=64 arc=0.89 lr=0.18 w_ov=0.222 iou=[0.952, 0.945] acc=3
r28 445s L=0.9847 cov=[0.0126, 0.0147] ov=[0.03897, 0.05666] P=6 S=64 arc=0.89 lr=0.088 w_ov=0.229 iou=[0.952, 0.944] acc=0
