r0 14s L=1.954 cov=[0.0251, 0.0651] ov=[0.06561, 0.12061] P=7 S=88 arc=0.00 lr=1 w_ov=0.1 iou=[0.913, 0.812] acc=15
r1 27s L=1.513 cov=[0.0161, 0.0318] ov=[0.05615, 0.09023] P=6 S=82 arc=0.06 lr=0.5 w_ov=0.103 iou=[0.934, 0.902] acc=11
r2 41s L=1.288 cov=[0.022, 0.0304] ov=[0.04702, 0.07639] P=6 S=81 arc=0.12 lr=0.5 w_ov=0.105 iou=[0.922, 0.904] acc=13
r3 57s L=1.166 cov=[0.0218, 0.0319] ov=[0.04069, 0.07043] P=6 S=79 arc=0.20 lr=0.25 w_ov=0.108 iou=[0.924, 0.899] acc=14
r4 73s L=1.086 cov=[0.0147, 0.0283] ov=[0.03964, 0.06452] P=6 S=78 arc=0.32 lr=0.13 w_ov=0.112 iou=[0.94, 0.911] acc=6
r5 89s L=1.015 cov=[0.0139, 0.0282] ov=[0.03665, 0.06048] P=6 S=76 arc=0.38 lr=0.13 w_ov=0.115 iou=[0.945, 0.912] acc=7
r6 105s L=0.9856 cov=[0.0138, 0.028] ov=[0.03529, 0.05896] P=6 S=74 arc=0.43 lr=0.18 w_ov=0.119 iou=[0.946, 0.911] acc=12
r7 122s L=0.9556 cov=[0.0135, 0.0278] ov=[0.03384, 0.05745] P=6 S=75 arc=0.51 lr=0.18 w_ov=0.122 iou=[0.947, 0.911] acc=7
r8 139s L=0.9359 cov=[0.0135, 0.0267] ov=[0.03291, 0.05652] P=6 S=73 arc=0.59 lr=0.18 w_ov=0.127 iou=[0.948, 0.914] acc=7
r9 155s L=0.9226 cov=[0.0134, 0.026] ov=[0.03212, 0.05606] P=6 S=71 arc=0.66 lr=0.25 w_ov=0.13 iou=[0.947, 0.916] acc=6
r10 170s L=0.9041 cov=[0.0136, 0.0253] ov=[0.03095, 0.05544] P=6 S=71 arc=0.63 lr=0.13 w_ov=0.135 iou=[0.95, 0.918] acc=7
r11 185s L=0.8871 cov=[0.0133, 0.025] ov=[0.03013, 0.05462] P=6 S=70 arc=0.66 lr=0.18 w_ov=0.139 iou=[0.949, 0.919] acc=4
r12 202s L=0.8747 cov=[0.0135, 0.0247] ov=[0.02947, 0.05405] P=6 S=70 arc=0.66 lr=0.18 w_ov=0.143 iou=[0.95, 0.921] acc=6
r13 217s L=0.8597 cov=[0.0136, 0.024] ov=[0.02896, 0.05312] P=6 S=69 arc=0.71 lr=0.088 w_ov=0.147 iou=[0.95, 0.921] acc=5
r14 233s L=0.8559 cov=[0.017, 0.0238] ov=[0.02925, 0.05212] P=6 S=69 arc=0.75 lr=0.13 w_ov=0.152 iou=[0.938, 0.921] acc=2
r15 249s L=0.8273 cov=[0.0135, 0.0237] ov=[0.02759, 0.0513] P=6 S=69 arc=0.77 lr=0.18 w_ov=0.157 iou=[0.95, 0.922] acc=2
r16 265s L=0.8028 cov=[0.0135, 0.0235] ov=[0.02633, 0.05012] P=6 S=68 arc=0.78 lr=0.088 w_ov=0.161 iou=[0.949, 0.922] acc=4
r17 281s L=0.7871 cov=[0.0145, 0.0235] ov=[0.02553, 0.04925] P=6 S=68 arc=0.78 lr=0.35 w_ov=0.166 iou=[0.945, 0.92] acc=10
r18 296s L=0.765 cov=[0.0139, 0.0228] ov=[0.02479, 0.04791] P=6 S=67 arc=0.81 lr=0.13 w_ov=0.171 iou=[0.947, 0.924] acc=6
r19 311s L=0.7399 cov=[0.0138, 0.0227] ov=[0.02377, 0.04643] P=6 S=68 arc=0.85 lr=0.18 w_ov=0.177 iou=[0.948, 0.924] acc=3
r20 327s L=0.7085 cov=[0.0134, 0.0227] ov=[0.0222, 0.04491] P=6 S=67 arc=0.87 lr=0.18 w_ov=0.182 iou=[0.949, 0.924] acc=2
r21 344s L=0.6779 cov=[0.0132, 0.0226] ov=[0.02069, 0.04339] P=6 S=67 arc=0.85 lr=0.25 w_ov=0.187 iou=[0.869, 0.925] acc=2
r22 360s L=0.653 cov=[0.0139, 0.0216] ov=[0.01999, 0.04163] P=6 S=66 arc=0.82 lr=0.25 w_ov=0.194 iou=[0.948, 0.929] acc=6
r23 376s L=0.639 cov=[0.0139, 0.0211] ov=[0.01938, 0.04089] P=6 S=66 arc=0.86 lr=0.088 w_ov=0.199 iou=[0.949, 0.929] acc=1
r24 392s L=0.6232 cov=[0.0141, 0.0209] ov=[0.01886, 0.03984] P=6 S=66 arc=0.86 lr=0.13 w_ov=0.206 iou=[0.946, 0.931] acc=3
r25 406s L=0.61 cov=[0.0141, 0.0207] ov=[0.01863, 0.03877] P=6 S=66 arc=0.86 lr=0.13 w_ov=0.212 iou=[0.948, 0.93] acc=2
r26 420s L=0.6009 cov=[0.0142, 0.0205] ov=[0.0184, 0.0381] P=6 S=66 arc=0.86 lr=0.13 w_ov=0.218 iou=[0.947, 0.931] acc=2
r27 435s L=0.5949 cov=[0.0143, 0.0203] ov=[0.01825, 0.03766] P=6 S=66 arc=0.88 lr=0.13 w_ov=0.224 iou=[0.946, 0.931] acc=4
r28 452s L=0.5909 cov=[0.0143, 0.0202] ov=[0.01814, 0.03736] P=6 S=65 arc=0.91 lr=0.25 w_ov=0.23 iou=[0.944, 0.931] acc=6
r29 466s L=0.5832 cov=[0.0146, 0.0199] ov=[0.01801, 0.03673] P=6 S=66 arc=0.86 lr=0.25 w_ov=0.238 iou=[0.947, 0.931] acc=7
r30 483s L=0.5785 cov=[0.015, 0.0203] ov=[0.01804, 0.03617] P=6 S=65 arc=0.86 lr=0.25 w_ov=0.245 iou=[0.942, 0.932] acc=2
r31 495s L=0.567 cov=[0.0141, 0.02] ov=[0.01745, 0.03571] P=6 S=65 arc=0.85 lr=0.088 w_ov=0.253 iou=[0.947, 0.932] acc=2
r32 508s L=0.5592 cov=[0.0142, 0.0199] ov=[0.01718, 0.03522] P=6 S=65 arc=0.86 lr=0.13 w_ov=0.259 iou=[0.946, 0.933] acc=1
r33 521s L=0.5497 cov=[0.0142, 0.0198] ov=[0.01683, 0.03461] P=6 S=65 arc=0.86 lr=0.18 w_ov=0.265 iou=[0.946, 0.933] acc=3
