r0 9s L=0.502 cov=[0.0181, 0.1125] ov=[0.01771, 0.01932] P=4 S=47 arc=0.00 lr=0.25 w_ov=0.1 iou=[0.89, 0.55] acc=20
r1 18s L=0.5513 cov=[0.0166, 0.0995] ov=[0.02452, 0.01892] P=4 S=46 arc=0.17 lr=0.25 w_ov=0.102 iou=[0.898, 0.594] acc=15
r2 27s L=0.6271 cov=[0.0216, 0.0874] ov=[0.0319, 0.01981] P=4 S=45 arc=0.29 lr=0.25 w_ov=0.104 iou=[0.876, 0.633] acc=16
r3 38s L=0.6175 cov=[0.0194, 0.0714] ov=[0.0389, 0.01369] P=4 S=47 arc=0.38 lr=0.25 w_ov=0.105 iou=[0.883, 0.695] acc=16
r4 49s L=0.6449 cov=[0.0152, 0.0647] ov=[0.04316, 0.01325] P=4 S=46 arc=0.48 lr=0.18 w_ov=0.108 iou=[0.911, 0.724] acc=11
r5 61s L=0.677 cov=[0.015, 0.0591] ov=[0.04799, 0.01222] P=4 S=44 arc=0.52 lr=0.18 w_ov=0.11 iou=[0.902, 0.747] acc=6
r6 71s L=0.7051 cov=[0.0127, 0.0554] ov=[0.05163, 0.01199] P=4 S=44 arc=0.52 lr=0.25 w_ov=0.112 iou=[0.918, 0.761] acc=9
r7 83s L=0.7321 cov=[0.0144, 0.0519] ov=[0.05573, 0.01076] P=4 S=48 arc=0.54 lr=0.25 w_ov=0.115 iou=[0.905, 0.776] acc=12
r8 96s L=0.7405 cov=[0.0125, 0.0499] ov=[0.05837, 0.00935] P=4 S=46 arc=0.61 lr=0.25 w_ov=0.117 iou=[0.929, 0.783] acc=7
r9 108s L=0.7452 cov=[0.0122, 0.0486] ov=[0.06037, 0.00797] P=4 S=46 arc=0.59 lr=0.25 w_ov=0.12 iou=[0.93, 0.788] acc=9
r10 120s L=0.7413 cov=[0.0136, 0.046] ov=[0.06102, 0.00706] P=4 S=49 arc=0.59 lr=0.25 w_ov=0.123 iou=[0.918, 0.798] acc=8
r11 134s L=0.7447 cov=[0.0195, 0.0437] ov=[0.06165, 0.00642] P=4 S=46 arc=0.57 lr=0.13 w_ov=0.126 iou=[0.888, 0.806] acc=11
r12 146s L=0.7366 cov=[0.0134, 0.042] ov=[0.06251, 0.00553] P=4 S=44 arc=0.61 lr=0.13 w_ov=0.129 iou=[0.924, 0.813] acc=9
r13 159s L=0.7363 cov=[0.014, 0.0402] ov=[0.06287, 0.00525] P=4 S=44 arc=0.73 lr=0.13 w_ov=0.132 iou=[0.921, 0.82] acc=3
r14 172s L=0.7345 cov=[0.0142, 0.0392] ov=[0.06295, 0.00509] P=4 S=41 arc=0.78 lr=0.18 w_ov=0.136 iou=[0.92, 0.823] acc=6
r15 185s L=0.73 cov=[0.0143, 0.0387] ov=[0.06275, 0.00487] P=4 S=41 arc=0.80 lr=0.18 w_ov=0.139 iou=[0.92, 0.829] acc=6
r16 197s L=0.7283 cov=[0.0142, 0.0383] ov=[0.06283, 0.00467] P=4 S=39 arc=0.74 lr=0.25 w_ov=0.143 iou=[0.921, 0.828] acc=8
r17 209s L=0.7352 cov=[0.02, 0.0382] ov=[0.06325, 0.00437] P=4 S=39 arc=0.74 lr=0.13 w_ov=0.146 iou=[0.883, 0.828] acc=0
r18 220s L=0.7206 cov=[0.0141, 0.0381] ov=[0.06257, 0.00419] P=4 S=39 arc=0.74 lr=0.063 w_ov=0.149 iou=[0.922, 0.828] acc=2
r19 232s L=0.7083 cov=[0.0167, 0.0379] ov=[0.06151, 0.00379] P=4 S=39 arc=0.74 lr=0.25 w_ov=0.153 iou=[0.899, 0.83] acc=6
r20 244s L=0.7067 cov=[0.0144, 0.0377] ov=[0.06164, 0.00373] P=4 S=39 arc=0.72 lr=0.35 w_ov=0.156 iou=[0.919, 0.829] acc=6
r21 255s L=0.6974 cov=[0.0142, 0.0377] ov=[0.06085, 0.00362] P=4 S=39 arc=0.79 lr=0.13 w_ov=0.16 iou=[0.916, 0.83] acc=2
r22 266s L=0.692 cov=[0.0141, 0.0376] ov=[0.06029, 0.00365] P=4 S=39 arc=0.82 lr=0.18 w_ov=0.163 iou=[0.921, 0.828] acc=3
r23 278s L=0.6848 cov=[0.0141, 0.0376] ov=[0.05986, 0.00336] P=4 S=39 arc=0.87 lr=0.088 w_ov=0.167 iou=[0.922, 0.83] acc=1
r24 290s L=0.6799 cov=[0.0141, 0.0376] ov=[0.05947, 0.00326] P=4 S=39 arc=0.87 lr=0.13 w_ov=0.171 iou=[0.922, 0.83] acc=2
r25 301s L=0.6755 cov=[0.0142, 0.0376] ov=[0.05909, 0.00321] P=4 S=39 arc=0.90 lr=0.031 w_ov=0.174 iou=[0.923, 0.829] acc=1
r26 312s L=0.6749 cov=[0.0142, 0.0376] ov=[0.05903, 0.0032] P=4 S=39 arc=0.92 lr=0.00098 w_ov=0.178 iou=[0.923, 0.829] acc=1
r27 324s L=0.6748 cov=[0.0142, 0.0376] ov=[0.05903, 0.0032] P=4 S=39 arc=0.92 lr=0.0002 w_ov=0.182 iou=[0.923, 0.829] acc=0
r28 336s L=0.6748 cov=[0.0142, 0.0376] ov=[0.05902, 0.0032] P=4 S=39 arc=0.92 lr=0.0002 w_ov=0.186 iou=[0.923, 0.829] acc=0
r29 348s L=0.6748 cov=[0.0142, 0.0376] ov=[0.05902, 0.0032] P=4 S=39 arc=0.92 lr=0.0002 w_ov=0.191 iou=[0.923, 0.829] acc=0
r30 360s L=0.6747 cov=[0.0142, 0.0376] ov=[0.05902, 0.0032] P=4 S=39 arc=0.95 lr=0.0002 w_ov=0.195 iou=[0.923, 0.829] acc=0
r31 372s L=0.6747 cov=[0.0142, 0.0376] ov=[0.05902, 0.0032] P=4 S=39 arc=0.95 lr=0.0002 w_ov=0.2 iou=[0.923, 0.829] acc=0
r32 384s L=0.6747 cov=[0.0142, 0.0376] ov=[0.05901, 0.0032] P=4 S=39 arc=0.95 lr=0.0002 w_ov=0.204 iou=[0.923, 0.829] acc=1
r33 396s L=0.6746 cov=[0.0142, 0.0376] ov=[0.05901, 0.0032] P=4 S=39 arc=0.95 lr=0.0002 w_ov=0.209 iou=[0.923, 0.829] acc=0
r34 408s L=0.6745 cov=[0.0142, 0.0376] ov=[0.059, 0.00319] P=4 S=39 arc=0.95 lr=0.0002 w_ov=0.214 iou=[0.923, 0.829] acc=1
r35 420s L=0.6745 cov=[0.0142, 0.0376] ov=[0.059, 0.00319] P=4 S=39 arc=0.95 lr=0.0002 w_ov=0.219 iou=[0.923, 0.829] acc=0
