r0 11s L=0.7794 cov=[0.0232, 0.1217] ov=[0.00372, 0.05964] P=4 S=48 arc=0.00 lr=0.18 w_ov=0.1 iou=[0.863, 0.51] acc=14
r1 21s L=0.7343 cov=[0.0234, 0.1204] ov=[0.00248, 0.05649] P=4 S=42 arc=0.17 lr=0.25 w_ov=0.102 iou=[0.879, 0.513] acc=8
r2 28s L=0.6984 cov=[0.0241, 0.1201] ov=[0.00147, 0.05385] P=4 S=41 arc=0.20 lr=0.25 w_ov=0.104 iou=[0.881, 0.516] acc=14
r3 38s L=0.6798 cov=[0.0249, 0.119] ov=[0.00066, 0.05285] P=4 S=39 arc=0.36 lr=0.13 w_ov=0.106 iou=[0.862, 0.522] acc=12
r4 47s L=0.6665 cov=[0.0235, 0.1174] ov=[0.00133, 0.05114] P=4 S=39 arc=0.46 lr=0.18 w_ov=0.108 iou=[0.877, 0.527] acc=10
r5 57s L=0.6654 cov=[0.0244, 0.1157] ov=[0.00193, 0.05052] P=4 S=40 arc=0.65 lr=0.25 w_ov=0.11 iou=[0.876, 0.534] acc=9
r6 66s L=0.6473 cov=[0.0256, 0.112] ov=[0.00191, 0.04898] P=4 S=39 arc=0.69 lr=0.13 w_ov=0.112 iou=[0.866, 0.543] acc=6
r7 76s L=0.6286 cov=[0.0257, 0.1095] ov=[0.00205, 0.04721] P=4 S=40 arc=0.70 lr=0.18 w_ov=0.114 iou=[0.863, 0.557] acc=8
r8 87s L=0.6029 cov=[0.0268, 0.1054] ov=[0.002, 0.04498] P=4 S=40 arc=0.80 lr=0.18 w_ov=0.116 iou=[0.86, 0.563] acc=3
r9 95s L=0.7639 cov=[0.0492, 0.0342] ov=[0.03062, 0.03735] P=4 S=48 arc=0.69 lr=0.71 w_ov=0.118 iou=[0.763, 0.837] acc=28
r10 106s L=0.6165 cov=[0.0238, 0.0152] ov=[0.02649, 0.03117] P=4 S=44 arc=0.57 lr=0.25 w_ov=0.12 iou=[0.876, 0.912] acc=15
r11 115s L=0.5965 cov=[0.0227, 0.0148] ov=[0.02616, 0.02965] P=4 S=41 arc=0.66 lr=0.25 w_ov=0.123 iou=[0.878, 0.913] acc=10
r12 124s L=0.5956 cov=[0.0225, 0.0146] ov=[0.02628, 0.02948] P=4 S=41 arc=0.80 lr=0.35 w_ov=0.125 iou=[0.879, 0.916] acc=2
r13 133s L=0.61 cov=[0.0236, 0.0151] ov=[0.02671, 0.03034] P=4 S=39 arc=0.82 lr=0.18 w_ov=0.127 iou=[0.87, 0.912] acc=3
r14 142s L=0.5937 cov=[0.0221, 0.0145] ov=[0.02611, 0.02952] P=4 S=36 arc=0.83 lr=0.25 w_ov=0.129 iou=[0.881, 0.917] acc=6
r15 151s L=0.5914 cov=[0.0219, 0.0145] ov=[0.02599, 0.02942] P=4 S=36 arc=0.86 lr=0.13 w_ov=0.131 iou=[0.881, 0.915] acc=3
r16 159s L=0.5919 cov=[0.0219, 0.0145] ov=[0.02607, 0.02941] P=4 S=36 arc=0.89 lr=0.25 w_ov=0.134 iou=[0.882, 0.915] acc=2
r17 168s L=0.5931 cov=[0.0218, 0.0145] ov=[0.02609, 0.02952] P=4 S=35 arc=0.94 lr=0.13 w_ov=0.136 iou=[0.882, 0.915] acc=1
r18 176s L=0.5922 cov=[0.0217, 0.0145] ov=[0.02606, 0.02947] P=4 S=35 arc=0.89 lr=0.18 w_ov=0.138 iou=[0.883, 0.915] acc=3
r19 184s L=0.59 cov=[0.0215, 0.0147] ov=[0.02594, 0.02936] P=4 S=35 arc=0.86 lr=0.25 w_ov=0.14 iou=[0.885, 0.914] acc=3
r20 192s L=0.5887 cov=[0.0212, 0.0148] ov=[0.02581, 0.02937] P=4 S=35 arc=0.89 lr=0.13 w_ov=0.142 iou=[0.881, 0.915] acc=1
r21 201s L=0.5896 cov=[0.0211, 0.0149] ov=[0.02591, 0.02937] P=4 S=35 arc=0.89 lr=0.18 w_ov=0.145 iou=[0.883, 0.915] acc=3
