r0 11s L=1.313 cov=[0.0121, 0.1237] ov=[0.03084, 0.08677] P=4 S=57 arc=0.00 lr=0.35 w_ov=0.1 iou=[0.923, 0.506] acc=10
r1 21s L=1.014 cov=[0.0238, 0.0771] ov=[0.04081, 0.05038] P=4 S=48 arc=0.10 lr=0.5 w_ov=0.102 iou=[0.859, 0.649] acc=14
r2 33s L=0.9653 cov=[0.0162, 0.0492] ov=[0.04504, 0.04487] P=4 S=47 arc=0.15 lr=0.35 w_ov=0.104 iou=[0.912, 0.77] acc=18
r3 43s L=1.006 cov=[0.0199, 0.0391] ov=[0.05047, 0.0441] P=4 S=45 arc=0.44 lr=0.25 w_ov=0.106 iou=[0.873, 0.811] acc=14
r4 54s L=1.087 cov=[0.014, 0.0309] ov=[0.06042, 0.04371] P=4 S=46 arc=0.50 lr=0.35 w_ov=0.109 iou=[0.92, 0.844] acc=12
r5 64s L=1.122 cov=[0.0162, 0.0282] ov=[0.06491, 0.04278] P=4 S=45 arc=0.51 lr=0.18 w_ov=0.111 iou=[0.907, 0.859] acc=9
r6 75s L=1.093 cov=[0.0117, 0.0259] ov=[0.06509, 0.0404] P=4 S=45 arc=0.60 lr=0.25 w_ov=0.113 iou=[0.926, 0.87] acc=10
r7 86s L=1.04 cov=[0.0124, 0.0242] ov=[0.06332, 0.03696] P=4 S=45 arc=0.67 lr=0.25 w_ov=0.115 iou=[0.922, 0.877] acc=3
r8 98s L=0.955 cov=[0.0125, 0.023] ov=[0.05942, 0.03245] P=4 S=45 arc=0.62 lr=0.25 w_ov=0.118 iou=[0.92, 0.879] acc=6
r9 109s L=0.8618 cov=[0.0122, 0.0229] ov=[0.05521, 0.02738] P=4 S=44 arc=0.66 lr=0.25 w_ov=0.121 iou=[0.92, 0.882] acc=8
r10 120s L=0.8022 cov=[0.0123, 0.0226] ov=[0.05257, 0.02408] P=4 S=42 arc=0.74 lr=0.25 w_ov=0.123 iou=[0.921, 0.882] acc=3
r11 131s L=0.768 cov=[0.0126, 0.0224] ov=[0.05088, 0.02235] P=4 S=44 arc=0.73 lr=0.25 w_ov=0.126 iou=[0.919, 0.884] acc=5
r12 141s L=0.7489 cov=[0.0122, 0.022] ov=[0.0502, 0.02119] P=4 S=43 arc=0.67 lr=0.25 w_ov=0.129 iou=[0.921, 0.886] acc=7
