r0 10s L=1.086 cov=[0.0045, 0.1563] ov=[0.00657, 0.08583] P=4 S=52 arc=0.00 lr=0.25 w_ov=0.1 iou=[0.959, 0.396] acc=10
r1 19s L=1.081 cov=[0.0067, 0.1426] ov=[0.00894, 0.08414] P=4 S=51 arc=0.10 lr=0.35 w_ov=0.102 iou=[0.933, 0.429] acc=14
r2 32s L=1.07 cov=[0.0136, 0.131] ov=[0.0128, 0.0796] P=4 S=52 arc=0.19 lr=0.18 w_ov=0.104 iou=[0.908, 0.47] acc=13
r3 42s L=1.022 cov=[0.005, 0.119] ov=[0.01604, 0.07364] P=4 S=50 arc=0.30 lr=0.18 w_ov=0.106 iou=[0.954, 0.513] acc=16
r4 53s L=1.065 cov=[0.0045, 0.1059] ov=[0.02463, 0.07074] P=4 S=48 arc=0.46 lr=0.18 w_ov=0.108 iou=[0.961, 0.563] acc=6
r5 63s L=1.023 cov=[0.0048, 0.0966] ov=[0.02724, 0.06486] P=4 S=47 arc=0.47 lr=0.25 w_ov=0.111 iou=[0.959, 0.599] acc=9
r6 72s L=1.015 cov=[0.0053, 0.0819] ov=[0.03524, 0.05745] P=4 S=49 arc=0.55 lr=0.35 w_ov=0.113 iou=[0.953, 0.653] acc=12
r7 83s L=0.9907 cov=[0.0128, 0.0552] ov=[0.04965, 0.04252] P=4 S=54 arc=0.56 lr=0.35 w_ov=0.115 iou=[0.915, 0.756] acc=20
r8 95s L=0.9047 cov=[0.012, 0.0353] ov=[0.05338, 0.03226] P=4 S=57 arc=0.63 lr=0.25 w_ov=0.117 iou=[0.917, 0.829] acc=8
r9 106s L=0.8516 cov=[0.0121, 0.026] ov=[0.05371, 0.02754] P=4 S=56 arc=0.64 lr=0.35 w_ov=0.12 iou=[0.916, 0.87] acc=10
r10 117s L=0.7899 cov=[0.0147, 0.0221] ov=[0.0521, 0.02312] P=4 S=61 arc=0.72 lr=0.35 w_ov=0.123 iou=[0.906, 0.884] acc=12
r11 131s L=0.7323 cov=[0.0131, 0.0174] ov=[0.04896, 0.02111] P=4 S=57 arc=0.77 lr=0.18 w_ov=0.125 iou=[0.911, 0.857] acc=7
r12 143s L=0.6294 cov=[0.0136, 0.0169] ov=[0.04204, 0.01775] P=4 S=53 arc=0.81 lr=0.25 w_ov=0.129 iou=[0.91, 0.902] acc=3
r13 156s L=0.6078 cov=[0.0131, 0.0151] ov=[0.04143, 0.01644] P=4 S=51 arc=0.84 lr=0.35 w_ov=0.132 iou=[0.914, 0.914] acc=4
r14 167s L=0.5755 cov=[0.0133, 0.0141] ov=[0.04007, 0.01464] P=4 S=42 arc=0.88 lr=0.35 w_ov=0.135 iou=[0.915, 0.86] acc=3
r15 178s L=0.3577 cov=[0.0139, 0.0248] ov=[0.0226, 0.00923] P=4 S=40 arc=0.75 lr=0.35 w_ov=0.138 iou=[0.911, 0.874] acc=9
r16 188s L=0.3508 cov=[0.0149, 0.0241] ov=[0.02248, 0.00861] P=4 S=45 arc=0.76 lr=0.35 w_ov=0.141 iou=[0.905, 0.878] acc=7
r17 199s L=0.3501 cov=[0.0139, 0.023] ov=[0.02193, 0.0093] P=4 S=43 arc=0.74 lr=0.13 w_ov=0.144 iou=[0.911, 0.881] acc=5
r18 211s L=0.3461 cov=[0.0136, 0.0227] ov=[0.0214, 0.0095] P=4 S=42 arc=0.76 lr=0.13 w_ov=0.147 iou=[0.912, 0.882] acc=3
r19 222s L=0.3371 cov=[0.0135, 0.0226] ov=[0.02072, 0.00929] P=4 S=40 arc=0.80 lr=0.13 w_ov=0.15 iou=[0.912, 0.882] acc=6
r20 233s L=0.3268 cov=[0.0134, 0.0225] ov=[0.02012, 0.00889] P=4 S=39 arc=0.87 lr=0.18 w_ov=0.153 iou=[0.913, 0.882] acc=1
r21 245s L=0.3199 cov=[0.0134, 0.0225] ov=[0.01973, 0.00859] P=4 S=39 arc=0.87 lr=0.088 w_ov=0.156 iou=[0.913, 0.883] acc=1
r22 255s L=0.3132 cov=[0.0132, 0.0226] ov=[0.01932, 0.00834] P=4 S=39 arc=0.87 lr=0.18 w_ov=0.16 iou=[0.915, 0.882] acc=1
r23 265s L=0.3041 cov=[0.0132, 0.0225] ov=[0.01876, 0.008] P=4 S=40 arc=0.88 lr=0.35 w_ov=0.163 iou=[0.915, 0.881] acc=2
r24 277s L=0.3012 cov=[0.0132, 0.0226] ov=[0.01844, 0.00802] P=4 S=40 arc=0.90 lr=0.18 w_ov=0.166 iou=[0.914, 0.882] acc=0
r25 287s L=0.2907 cov=[0.0132, 0.0225] ov=[0.01803, 0.00739] P=4 S=40 arc=0.88 lr=0.088 w_ov=0.17 iou=[0.915, 0.881] acc=3
r26 298s L=0.2847 cov=[0.0132, 0.0224] ov=[0.01767, 0.00716] P=4 S=40 arc=0.88 lr=0.18 w_ov=0.174 iou=[0.914, 0.881] acc=2
r27 310s L=0.2781 cov=[0.0132, 0.0225] ov=[0.01726, 0.00691] P=4 S=40 arc=0.78 lr=0.35 w_ov=0.177 iou=[0.914, 0.882] acc=8
r28 321s L=0.2703 cov=[0.0132, 0.0225] ov=[0.01671, 0.00666] P=4 S=40 arc=0.85 lr=0.088 w_ov=0.181 iou=[0.914, 0.882] acc=3
r29 333s L=0.2621 cov=[0.0132, 0.0225] ov=[0.01629, 0.00627] P=4 S=40 arc=0.88 lr=0.18 w_ov=0.185 iou=[0.916, 0.882] acc=2
r30 344s L=0.2539 cov=[0.0132, 0.0226] ov=[0.01579, 0.00595] P=4 S=40 arc=0.85 lr=0.35 w_ov=0.189 iou=[0.915, 0.881] acc=4
r31 355s L=0.2461 cov=[0.0131, 0.0226] ov=[0.01537, 0.00559] P=4 S=40 arc=0.88 lr=0.18 w_ov=0.194 iou=[0.916, 0.881] acc=2
r32 367s L=0.2378 cov=[0.0132, 0.0226] ov=[0.01489, 0.00523] P=4 S=40 arc=0.85 lr=0.35 w_ov=0.198 iou=[0.915, 0.88] acc=3
