r0 10s L=0.8688 cov=[0.0297, 0.0434] ov=[0.03891, 0.04055] P=5 S=55 arc=0.00 lr=1 w_ov=0.1 iou=[0.805, 0.768] acc=11
r1 19s L=0.56 cov=[0.0196, 0.0217] ov=[0.02481, 0.02696] P=5 S=57 arc=0.07 lr=0.5 w_ov=0.102 iou=[0.887, 0.881] acc=15
r2 29s L=0.5323 cov=[0.021, 0.0249] ov=[0.02134, 0.02719] P=5 S=56 arc=0.27 lr=0.5 w_ov=0.104 iou=[0.867, 0.87] acc=10
r3 40s L=0.4683 cov=[0.0176, 0.0162] ov=[0.02029, 0.02306] P=5 S=53 arc=0.34 lr=0.18 w_ov=0.106 iou=[0.895, 0.91] acc=12
r4 49s L=0.4269 cov=[0.0155, 0.0164] ov=[0.01821, 0.02118] P=5 S=51 arc=0.45 lr=0.18 w_ov=0.108 iou=[0.905, 0.905] acc=10
r5 59s L=0.398 cov=[0.0148, 0.0165] ov=[0.01648, 0.02009] P=5 S=52 arc=0.62 lr=0.35 w_ov=0.11 iou=[0.91, 0.908] acc=5
r6 70s L=0.4464 cov=[0.0144, 0.0166] ov=[0.01875, 0.02269] P=5 S=50 arc=0.58 lr=0.25 w_ov=0.112 iou=[0.913, 0.909] acc=11
r7 80s L=0.3572 cov=[0.0138, 0.0159] ov=[0.01411, 0.01854] P=5 S=48 arc=0.67 lr=0.25 w_ov=0.114 iou=[0.915, 0.912] acc=6
r8 91s L=0.3414 cov=[0.0134, 0.016] ov=[0.01384, 0.01727] P=5 S=46 arc=0.67 lr=0.25 w_ov=0.117 iou=[0.917, 0.911] acc=8
r9 100s L=0.3241 cov=[0.0132, 0.0157] ov=[0.01256, 0.01687] P=5 S=45 arc=0.71 lr=0.13 w_ov=0.119 iou=[0.918, 0.913] acc=5
r10 109s L=0.3097 cov=[0.0131, 0.0156] ov=[0.01178, 0.01622] P=5 S=45 arc=0.76 lr=0.25 w_ov=0.121 iou=[0.92, 0.913] acc=4
r11 119s L=0.2988 cov=[0.0129, 0.0157] ov=[0.01121, 0.01572] P=5 S=47 arc=0.83 lr=0.25 w_ov=0.123 iou=[0.92, 0.913] acc=5
r12 129s L=0.2875 cov=[0.0129, 0.0156] ov=[0.01056, 0.01524] P=5 S=46 arc=0.83 lr=0.25 w_ov=0.126 iou=[0.922, 0.913] acc=4
r13 138s L=0.279 cov=[0.0124, 0.0159] ov=[0.01017, 0.0148] P=5 S=45 arc=0.82 lr=0.13 w_ov=0.128 iou=[0.921, 0.912] acc=3
r14 147s L=0.2687 cov=[0.0124, 0.0159] ov=[0.00984, 0.0141] P=5 S=45 arc=0.84 lr=0.13 w_ov=0.13 iou=[0.921, 0.912] acc=3
r15 155s L=0.2613 cov=[0.0124, 0.0159] ov=[0.00944, 0.01376] P=5 S=45 arc=0.89 lr=0.18 w_ov=0.133 iou=[0.922, 0.911] acc=1
r16 165s L=0.2471 cov=[0.0123, 0.016] ov=[0.00873, 0.01306] P=5 S=44 arc=0.84 lr=0.18 w_ov=0.135 iou=[0.921, 0.912] acc=6
r17 175s L=0.2421 cov=[0.0123, 0.016] ov=[0.00846, 0.01283] P=5 S=44 arc=0.91 lr=0.088 w_ov=0.137 iou=[0.92, 0.912] acc=2
r18 183s L=0.2375 cov=[0.0123, 0.0159] ov=[0.00824, 0.01259] P=5 S=44 arc=0.95 lr=0.18 w_ov=0.14 iou=[0.921, 0.912] acc=0
r19 193s L=0.2356 cov=[0.0123, 0.0159] ov=[0.00825, 0.01239] P=5 S=44 arc=0.95 lr=0.088 w_ov=0.142 iou=[0.919, 0.913] acc=2
r20 202s L=0.2302 cov=[0.0123, 0.0158] ov=[0.00794, 0.01218] P=5 S=44 arc=1.00 lr=0.13 w_ov=0.145 iou=[0.921, 0.912] acc=0
r21 211s L=0.224 cov=[0.0122, 0.0159] ov=[0.0077, 0.0118] P=5 S=44 arc=0.98 lr=0.063 w_ov=0.147 iou=[0.92, 0.913] acc=1
r22 220s L=0.2196 cov=[0.0122, 0.0159] ov=[0.00752, 0.01154] P=5 S=44 arc=0.98 lr=0.088 w_ov=0.15 iou=[0.921, 0.913] acc=0
r23 228s L=0.2156 cov=[0.0122, 0.0159] ov=[0.00734, 0.01132] P=5 S=44 arc=0.95 lr=0.044 w_ov=0.152 iou=[0.922, 0.913] acc=1
r24 237s L=0.2121 cov=[0.0122, 0.0159] ov=[0.00719, 0.01111] P=5 S=44 arc=0.95 lr=0.063 w_ov=0.155 iou=[0.921, 0.912] acc=1
r25 246s L=0.2092 cov=[0.0121, 0.016] ov=[0.00709, 0.01093] P=5 S=44 arc=0.98 lr=0.088 w_ov=0.158 iou=[0.921, 0.912] acc=0
r26 254s L=0.2068 cov=[0.0121, 0.016] ov=[0.00697, 0.0108] P=5 S=48 arc=0.85 lr=0.13 w_ov=0.16 iou=[0.92, 0.912] acc=10
r27 263s L=0.2053 cov=[0.0125, 0.0156] ov=[0.00695, 0.01067] P=5 S=46 arc=0.85 lr=0.13 w_ov=0.163 iou=[0.92, 0.911] acc=6
r28 272s L=0.2013 cov=[0.0124, 0.0156] ov=[0.00671, 0.01052] P=5 S=46 arc=0.91 lr=0.13 w_ov=0.166 iou=[0.921, 0.911] acc=2
r29 281s L=0.1973 cov=[0.0124, 0.0156] ov=[0.00664, 0.0102] P=5 S=45 arc=0.91 lr=0.13 w_ov=0.169 iou=[0.92, 0.911] acc=2
r30 290s L=0.1904 cov=[0.0125, 0.0156] ov=[0.00614, 0.00999] P=5 S=44 arc=0.86 lr=0.18 w_ov=0.171 iou=[0.92, 0.912] acc=6
r31 298s L=0.1849 cov=[0.0127, 0.0153] ov=[0.00584, 0.00975] P=5 S=44 arc=0.89 lr=0.063 w_ov=0.174 iou=[0.919, 0.913] acc=0
r32 307s L=0.1821 cov=[0.0127, 0.0153] ov=[0.00575, 0.00957] P=5 S=44 arc=0.89 lr=0.088 w_ov=0.177 iou=[0.919, 0.913] acc=2
r33 316s L=0.1797 cov=[0.0127, 0.0152] ov=[0.00567, 0.00941] P=5 S=44 arc=0.93 lr=0.13 w_ov=0.18 iou=[0.919, 0.914] acc=0
r34 325s L=0.1775 cov=[0.0127, 0.0152] ov=[0.00562, 0.00924] P=5 S=44 arc=0.91 lr=0.18 w_ov=0.183 iou=[0.92, 0.914] acc=2
r35 334s L=0.1764 cov=[0.0127, 0.0153] ov=[0.00565, 0.0091] P=5 S=44 arc=0.93 lr=0.088 w_ov=0.187 iou=[0.92, 0.913] acc=1
r36 343s L=0.1753 cov=[0.0126, 0.0153] ov=[0.00567, 0.00898] P=5 S=44 arc=0.93 lr=0.063 w_ov=0.19 iou=[0.92, 0.913] acc=2
r37 352s L=0.1745 cov=[0.0126, 0.0153] ov=[0.00566, 0.00891] P=5 S=44 arc=0.93 lr=0.044 w_ov=0.193 iou=[0.919, 0.913] acc=1
r38 360s L=0.1738 cov=[0.0127, 0.0154] ov=[0.00581, 0.00867] P=5 S=44 arc=0.91 lr=0.088 w_ov=0.196 iou=[0.918, 0.914] acc=2
r39 370s L=0.169 cov=[0.0126, 0.0153] ov=[0.00536, 0.00866] P=5 S=44 arc=0.93 lr=0.13 w_ov=0.2 iou=[0.919, 0.913] acc=0
r40 378s L=0.1663 cov=[0.0126, 0.0153] ov=[0.00528, 0.00846] P=5 S=44 arc=0.91 lr=0.063 w_ov=0.203 iou=[0.919, 0.914] acc=2
r41 388s L=0.1653 cov=[0.0126, 0.0153] ov=[0.00519, 0.00845] P=5 S=44 arc=0.91 lr=0.044 w_ov=0.207 iou=[0.919, 0.913] acc=1
r42 397s L=0.165 cov=[0.0126, 0.0153] ov=[0.00518, 0.00843] P=5 S=44 arc=0.91 lr=0.0014 w_ov=0.21 iou=[0.919, 0.913] acc=1
r43 406s L=0.165 cov=[0.0126, 0.0153] ov=[0.00518, 0.00843] P=5 S=44 arc=0.93 lr=0.0002 w_ov=0.214 iou=[0.919, 0.913] acc=1
r44 415s L=0.1649 cov=[0.0126, 0.0153] ov=[0.00518, 0.00843] P=5 S=44 arc=0.95 lr=0.0002 w_ov=0.218 iou=[0.919, 0.913] acc=0
r45 424s L=0.1649 cov=[0.0126, 0.0153] ov=[0.00518, 0.00843] P=5 S=44 arc=0.95 lr=0.0002 w_ov=0.222 iou=[0.919, 0.913] acc=0
r46 433s L=0.1649 cov=[0.0126, 0.0153] ov=[0.00518, 0.00843] P=5 S=44 arc=0.93 lr=0.0002 w_ov=0.226 iou=[0.919, 0.913] acc=0
r47 442s L=0.1649 cov=[0.0126, 0.0153] ov=[0.00518, 0.00843] P=5 S=44 arc=0.91 lr=0.0002 w_ov=0.23 iou=[0.919, 0.913] acc=2
r48 451s L=0.1649 cov=[0.0126, 0.0153] ov=[0.00518, 0.00843] P=5 S=44 arc=0.91 lr=0.0002 w_ov=0.233 iou=[0.919, 0.913] acc=0
r49 460s L=0.1648 cov=[0.0126, 0.0153] ov=[0.00517, 0.00843] P=5 S=44 arc=0.91 lr=0.0002 w_ov=0.238 iou=[0.919, 0.913] acc=0
r50 469s L=0.1648 cov=[0.0126, 0.0153] ov=[0.00517, 0.00842] P=5 S=44 arc=0.91 lr=0.0002 w_ov=0.242 iou=[0.919, 0.913] acc=0
r51 478s L=0.1648 cov=[0.0126, 0.0153] ov=[0.00517, 0.00842] P=5 S=44 arc=0.91 lr=0.0002 w_ov=0.246 iou=[0.919, 0.913] acc=0
r52 487s L=0.1647 cov=[0.0126, 0.0153] ov=[0.00517, 0.00842] P=5 S=44 arc=0.91 lr=0.0002 w_ov=0.25 iou=[0.919, 0.913] acc=0
r53 496s L=0.1647 cov=[0.0126, 0.0153] ov=[0.00517, 0.00842] P=5 S=44 arc=0.91 lr=0.0002 w_ov=0.255 iou=[0.919, 0.913] acc=0
r54 505s L=0.1646 cov=[0.0126, 0.0153] ov=[0.00516, 0.00841] P=5 S=44 arc=0.91 lr=0.0002 w_ov=0.259 iou=[0.919, 0.913] acc=0
r55 514s L=0.1646 cov=[0.0126, 0.0153] ov=[0.00516, 0.00841] P=5 S=44 arc=0.91 lr=0.0002 w_ov=0.264 iou=[0.919, 0.913] acc=1
r56 523s L=0.1645 cov=[0.0126, 0.0153] ov=[0.00516, 0.00841] P=5 S=44 arc=0.93 lr=0.0002 w_ov=0.268 iou=[0.919, 0.913] acc=0
r57 532s L=0.1645 cov=[0.0126, 0.0153] ov=[0.00516, 0.0084] P=5 S=44 arc=0.93 lr=0.0002 w_ov=0.273 iou=[0.919, 0.913] acc=1
r58 542s L=0.1644 cov=[0.0126, 0.0153] ov=[0.00515, 0.0084] P=5 S=44 arc=0.95 lr=0.0002 w_ov=0.278 iou=[0.919, 0.913] acc=0
r59 551s L=0.1643 cov=[0.0126, 0.0153] ov=[0.00515, 0.0084] P=5 S=44 arc=0.93 lr=0.0002 w_ov=0.283 iou=[0.919, 0.913] acc=1
r60 560s L=0.1642 cov=[0.0126, 0.0153] ov=[0.00515, 0.00839] P=5 S=44 arc=0.93 lr=0.0002 w_ov=0.288 iou=[0.919, 0.913] acc=0
r61 569s L=0.1642 cov=[0.0126, 0.0153] ov=[0.00514, 0.00839] P=5 S=44 arc=0.93 lr=0.0002 w_ov=0.293 iou=[0.919, 0.913] acc=0
r62 577s L=0.1641 cov=[0.0126, 0.0153] ov=[0.00514, 0.00838] P=5 S=44 arc=0.93 lr=0.0002 w_ov=0.298 iou=[0.919, 0.913] acc=0
r63 586s L=0.164 cov=[0.0126, 0.0153] ov=[0.00514, 0.00838] P=5 S=44 arc=0.93 lr=0.0002 w_ov=0.303 iou=[0.919, 0.913] acc=0
r64 595s L=0.1639 cov=[0.0126, 0.0153] ov=[0.00513, 0.00837] P=5 S=44 arc=0.91 lr=0.0002 w_ov=0.308 iou=[0.919, 0.913] acc=1
r65 604s L=0.1632 cov=[0.0126, 0.0153] ov=[0.00513, 0.0083] P=5 S=44 arc=0.91 lr=0.0002 w_ov=0.313 iou=[0.919, 0.913] acc=0
r66 614s L=0.1631 cov=[0.0126, 0.0153] ov=[0.00513, 0.00829] P=5 S=44 arc=0.91 lr=0.0002 w_ov=0.319 iou=[0.919, 0.913] acc=1
r67 623s L=0.163 cov=[0.0126, 0.0153] ov=[0.00512, 0.00829] P=5 S=44 arc=0.93 lr=0.0002 w_ov=0.325 iou=[0.919, 0.913] acc=0
r68 632s L=0.1629 cov=[0.0126, 0.0153] ov=[0.00512, 0.00828] P=5 S=44 arc=0.91 lr=0.0002 w_ov=0.33 iou=[0.919, 0.913] acc=1
r69 641s L=0.1628 cov=[0.0126, 0.0153] ov=[0.00512, 0.00828] P=5 S=44 arc=0.91 lr=0.0002 w_ov=0.336 iou=[0.919, 0.913] acc=1
r70 650s L=0.1627 cov=[0.0126, 0.0153] ov=[0.00511, 0.00827] P=5 S=44 arc=0.93 lr=0.0002 w_ov=0.342 iou=[0.919, 0.913] acc=0
r71 659s L=0.1627 cov=[0.0126, 0.0153] ov=[0.00511, 0.00827] P=5 S=44 arc=0.93 lr=0.0002 w_ov=0.348 iou=[0.919, 0.913] acc=0
