r0 9s L=0.7108 cov=[0.0279, 0.0338] ov=[0.02567, 0.03911] P=7 S=56 arc=0.00 lr=0.71 w_ov=0.1 iou=[0.842, 0.853] acc=15
r1 16s L=0.7149 cov=[0.0087, 0.0225] ov=[0.02543, 0.04283] P=6 S=55 arc=0.04 lr=0.71 w_ov=0.102 iou=[0.935, 0.879] acc=15
r2 23s L=0.7476 cov=[0.006, 0.017] ov=[0.02783, 0.04452] P=6 S=55 arc=0.13 lr=0.25 w_ov=0.103 iou=[0.946, 0.901] acc=15
r3 31s L=0.7629 cov=[0.0054, 0.0147] ov=[0.02927, 0.0449] P=6 S=54 arc=0.30 lr=0.25 w_ov=0.104 iou=[0.92, 0.911] acc=9
r4 39s L=0.779 cov=[0.0057, 0.0127] ov=[0.03056, 0.04538] P=6 S=56 arc=0.32 lr=0.25 w_ov=0.106 iou=[0.943, 0.923] acc=10
r5 48s L=0.7869 cov=[0.0058, 0.0105] ov=[0.03183, 0.0451] P=6 S=60 arc=0.33 lr=0.25 w_ov=0.108 iou=[0.943, 0.933] acc=10
r6 57s L=0.7782 cov=[0.0051, 0.0089] ov=[0.03235, 0.04396] P=6 S=59 arc=0.37 lr=0.35 w_ov=0.11 iou=[0.957, 0.939] acc=13
r7 66s L=0.7636 cov=[0.0048, 0.0077] ov=[0.03183, 0.04316] P=6 S=58 arc=0.47 lr=0.35 w_ov=0.112 iou=[0.951, 0.947] acc=12
r8 76s L=0.7493 cov=[0.0067, 0.0064] ov=[0.03132, 0.04218] P=6 S=59 arc=0.54 lr=0.35 w_ov=0.114 iou=[0.94, 0.953] acc=12
r9 85s L=0.7439 cov=[0.0057, 0.0058] ov=[0.03166, 0.04146] P=6 S=60 arc=0.57 lr=0.35 w_ov=0.116 iou=[0.947, 0.956] acc=10
r10 95s L=0.739 cov=[0.0044, 0.0051] ov=[0.03226, 0.04058] P=6 S=55 arc=0.65 lr=0.13 w_ov=0.118 iou=[0.957, 0.961] acc=9
r11 104s L=0.7382 cov=[0.0084, 0.0043] ov=[0.03321, 0.03922] P=6 S=60 arc=0.63 lr=0.35 w_ov=0.12 iou=[0.943, 0.963] acc=12
r12 115s L=0.7074 cov=[0.0092, 0.0036] ov=[0.03099, 0.03835] P=6 S=58 arc=0.66 lr=0.18 w_ov=0.122 iou=[0.928, 0.968] acc=6
r13 125s L=0.6994 cov=[0.0037, 0.0033] ov=[0.03174, 0.03739] P=6 S=56 arc=0.71 lr=0.25 w_ov=0.125 iou=[0.962, 0.968] acc=3
r14 135s L=0.6946 cov=[0.0041, 0.003] ov=[0.03169, 0.03694] P=6 S=52 arc=0.73 lr=0.25 w_ov=0.127 iou=[0.967, 0.97] acc=6
r15 144s L=0.68 cov=[0.0036, 0.0027] ov=[0.03104, 0.03621] P=6 S=51 arc=0.75 lr=0.088 w_ov=0.13 iou=[0.968, 0.972] acc=5
r16 153s L=0.6586 cov=[0.0033, 0.0025] ov=[0.03017, 0.035] P=6 S=50 arc=0.80 lr=0.18 w_ov=0.132 iou=[0.966, 0.973] acc=5
r17 162s L=0.6415 cov=[0.0031, 0.0025] ov=[0.0293, 0.03418] P=6 S=50 arc=0.86 lr=0.35 w_ov=0.134 iou=[0.967, 0.974] acc=1
r18 171s L=0.6234 cov=[0.0032, 0.0025] ov=[0.02852, 0.03314] P=6 S=52 arc=0.88 lr=0.25 w_ov=0.137 iou=[0.971, 0.974] acc=3
r19 181s L=0.6095 cov=[0.0031, 0.0025] ov=[0.02786, 0.03242] P=6 S=52 arc=0.88 lr=0.13 w_ov=0.139 iou=[0.966, 0.973] acc=1
r20 190s L=0.5991 cov=[0.003, 0.0024] ov=[0.02727, 0.03198] P=6 S=51 arc=0.86 lr=0.13 w_ov=0.141 iou=[0.969, 0.973] acc=3
r21 200s L=0.5916 cov=[0.003, 0.0024] ov=[0.02698, 0.03153] P=6 S=50 arc=0.86 lr=0.13 w_ov=0.144 iou=[0.965, 0.975] acc=3
r22 209s L=0.5874 cov=[0.003, 0.0024] ov=[0.02683, 0.03125] P=6 S=50 arc=0.88 lr=0.18 w_ov=0.147 iou=[0.966, 0.976] acc=1
r23 219s L=0.5837 cov=[0.003, 0.0024] ov=[0.02667, 0.03106] P=6 S=50 arc=0.90 lr=0.25 w_ov=0.149 iou=[0.965, 0.976] acc=2
r24 228s L=0.5949 cov=[0.0048, 0.0031] ov=[0.02612, 0.03247] P=6 S=50 arc=0.90 lr=0.18 w_ov=0.152 iou=[0.955, 0.966] acc=5
r25 236s L=0.5776 cov=[0.0029, 0.0023] ov=[0.02646, 0.03067] P=6 S=49 arc=0.90 lr=0.25 w_ov=0.155 iou=[0.967, 0.974] acc=3
r26 245s L=0.574 cov=[0.0029, 0.0024] ov=[0.0263, 0.03048] P=6 S=48 arc=0.92 lr=0.25 w_ov=0.157 iou=[0.968, 0.974] acc=2
r27 253s L=0.5717 cov=[0.0028, 0.0025] ov=[0.02616, 0.03037] P=6 S=48 arc=0.92 lr=0.13 w_ov=0.16 iou=[0.966, 0.974] acc=2
r28 263s L=0.5672 cov=[0.0028, 0.0025] ov=[0.02597, 0.03011] P=6 S=46 arc=0.91 lr=0.25 w_ov=0.163 iou=[0.961, 0.959] acc=1
