r0 9s L=0.9251 cov=[0.0268, 0.0357] ov=[0.03172, 0.05441] P=6 S=59 arc=0.00 lr=0.5 w_ov=0.1 iou=[0.858, 0.821] acc=15
r1 19s L=0.6463 cov=[0.0086, 0.0216] ov=[0.02155, 0.03994] P=6 S=54 arc=0.17 lr=0.18 w_ov=0.102 iou=[0.934, 0.885] acc=15
r2 27s L=0.6366 cov=[0.005, 0.0199] ov=[0.02348, 0.03758] P=6 S=54 arc=0.33 lr=0.25 w_ov=0.104 iou=[0.949, 0.895] acc=12
r3 37s L=0.6491 cov=[0.0042, 0.017] ov=[0.02488, 0.03779] P=6 S=53 arc=0.51 lr=0.25 w_ov=0.105 iou=[0.95, 0.903] acc=13
r4 48s L=0.6707 cov=[0.0047, 0.0145] ov=[0.02741, 0.03763] P=6 S=51 arc=0.71 lr=0.25 w_ov=0.107 iou=[0.962, 0.914] acc=4
r5 58s L=0.6677 cov=[0.0034, 0.0132] ov=[0.02766, 0.03733] P=6 S=52 arc=0.75 lr=0.35 w_ov=0.11 iou=[0.953, 0.926] acc=5
r6 70s L=0.6886 cov=[0.0045, 0.0109] ov=[0.02931, 0.03789] P=6 S=51 arc=0.76 lr=0.18 w_ov=0.112 iou=[0.952, 0.933] acc=6
r7 80s L=0.7083 cov=[0.0073, 0.0097] ov=[0.02994, 0.03908] P=6 S=52 arc=0.81 lr=0.25 w_ov=0.114 iou=[0.943, 0.941] acc=4
r8 91s L=0.6495 cov=[0.0043, 0.0087] ov=[0.0283, 0.03524] P=6 S=53 arc=0.81 lr=0.25 w_ov=0.117 iou=[0.945, 0.945] acc=7
r9 102s L=0.6355 cov=[0.0052, 0.0073] ov=[0.02797, 0.03421] P=6 S=54 arc=0.76 lr=0.25 w_ov=0.119 iou=[0.946, 0.951] acc=5
r10 114s L=0.6213 cov=[0.0041, 0.0064] ov=[0.02777, 0.03319] P=6 S=53 arc=0.74 lr=0.13 w_ov=0.122 iou=[0.955, 0.956] acc=5
r11 125s L=0.5987 cov=[0.004, 0.0062] ov=[0.02692, 0.03181] P=6 S=52 arc=0.77 lr=0.18 w_ov=0.124 iou=[0.955, 0.957] acc=3
r12 137s L=0.5848 cov=[0.0042, 0.0058] ov=[0.02641, 0.03096] P=6 S=52 arc=0.75 lr=0.25 w_ov=0.127 iou=[0.955, 0.96] acc=3
r13 147s L=0.5695 cov=[0.0041, 0.0056] ov=[0.02573, 0.03015] P=6 S=52 arc=0.73 lr=0.25 w_ov=0.13 iou=[0.957, 0.96] acc=5
r14 159s L=0.5926 cov=[0.0119, 0.0063] ov=[0.0272, 0.03014] P=6 S=56 arc=0.75 lr=0.18 w_ov=0.133 iou=[0.923, 0.951] acc=6
r15 171s L=0.537 cov=[0.0043, 0.0049] ov=[0.02412, 0.02854] P=6 S=56 arc=0.75 lr=0.25 w_ov=0.136 iou=[0.954, 0.963] acc=2
r16 184s L=0.5213 cov=[0.0041, 0.0049] ov=[0.02345, 0.02766] P=6 S=56 arc=0.75 lr=0.25 w_ov=0.139 iou=[0.957, 0.962] acc=3
r17 196s L=0.5065 cov=[0.004, 0.0047] ov=[0.02278, 0.02688] P=6 S=56 arc=0.75 lr=0.25 w_ov=0.142 iou=[0.96, 0.963] acc=5
r18 208s L=0.4952 cov=[0.0036, 0.0047] ov=[0.02206, 0.02651] P=6 S=56 arc=0.77 lr=0.088 w_ov=0.146 iou=[0.96, 0.963] acc=5
r19 222s L=0.4771 cov=[0.0034, 0.0047] ov=[0.02103, 0.02575] P=6 S=54 arc=0.89 lr=0.18 w_ov=0.149 iou=[0.962, 0.963] acc=4
r20 233s L=0.467 cov=[0.0033, 0.0046] ov=[0.02046, 0.02534] P=6 S=53 arc=0.92 lr=0.25 w_ov=0.153 iou=[0.965, 0.964] acc=2
r21 245s L=0.4616 cov=[0.0034, 0.0046] ov=[0.01988, 0.02537] P=6 S=53 arc=0.91 lr=0.13 w_ov=0.157 iou=[0.957, 0.964] acc=4
r22 256s L=0.4515 cov=[0.0032, 0.0043] ov=[0.01942, 0.02487] P=6 S=53 arc=0.94 lr=0.13 w_ov=0.16 iou=[0.964, 0.965] acc=1
r23 267s L=0.437 cov=[0.0031, 0.0043] ov=[0.01856, 0.02429] P=6 S=52 arc=0.98 lr=0.18 w_ov=0.163 iou=[0.963, 0.965] acc=2
r24 278s L=0.4315 cov=[0.0032, 0.0041] ov=[0.01833, 0.02399] P=6 S=52 arc=0.98 lr=0.18 w_ov=0.167 iou=[0.963, 0.967] acc=1
r25 289s L=0.427 cov=[0.0032, 0.0039] ov=[0.01812, 0.02375] P=6 S=52 arc=0.98 lr=0.18 w_ov=0.17 iou=[0.962, 0.967] acc=0
r26 300s L=0.4253 cov=[0.0033, 0.0038] ov=[0.01805, 0.02366] P=6 S=52 arc=0.98 lr=0.13 w_ov=0.174 iou=[0.961, 0.968] acc=1
r27 311s L=0.4218 cov=[0.0033, 0.0037] ov=[0.01786, 0.02351] P=6 S=52 arc=1.00 lr=0.25 w_ov=0.178 iou=[0.961, 0.969] acc=0
r28 322s L=0.4226 cov=[0.0037, 0.0036] ov=[0.01767, 0.02374] P=6 S=52 arc=0.94 lr=0.13 w_ov=0.182 iou=[0.95, 0.97] acc=3
