r0 17s L=1.337 cov=[0.0393, 0.0622] ov=[0.0375, 0.0859] P=6 S=91 arc=0.00 lr=0.35 w_ov=0.1 iou=[0.843, 0.745] acc=10
r1 31s L=0.9075 cov=[0.0158, 0.033] ov=[0.03081, 0.05491] P=5 S=76 arc=0.04 lr=0.5 w_ov=0.103 iou=[0.919, 0.858] acc=21
r2 43s L=0.8889 cov=[0.0135, 0.0288] ov=[0.03081, 0.05373] P=5 S=73 arc=0.11 lr=0.18 w_ov=0.106 iou=[0.93, 0.876] acc=14
r3 60s L=0.9484 cov=[0.0125, 0.0232] ov=[0.03247, 0.05868] P=5 S=71 arc=0.25 lr=0.18 w_ov=0.109 iou=[0.935, 0.893] acc=11
r4 78s L=0.9126 cov=[0.0118, 0.0201] ov=[0.03228, 0.05567] P=5 S=68 arc=0.37 lr=0.18 w_ov=0.112 iou=[0.938, 0.905] acc=16
r5 95s L=0.911 cov=[0.0117, 0.0172] ov=[0.03365, 0.05445] P=5 S=67 arc=0.51 lr=0.18 w_ov=0.116 iou=[0.941, 0.915] acc=5
r6 114s L=0.8952 cov=[0.0117, 0.0159] ov=[0.03374, 0.0529] P=5 S=66 arc=0.55 lr=0.18 w_ov=0.12 iou=[0.939, 0.919] acc=11
r7 129s L=0.8614 cov=[0.0117, 0.014] ov=[0.03252, 0.05092] P=5 S=63 arc=0.62 lr=0.18 w_ov=0.124 iou=[0.939, 0.928] acc=7
r8 144s L=0.8072 cov=[0.0116, 0.0136] ov=[0.03002, 0.04805] P=5 S=59 arc=0.66 lr=0.25 w_ov=0.128 iou=[0.938, 0.93] acc=8
r9 158s L=0.7649 cov=[0.0117, 0.0129] ov=[0.02795, 0.04598] P=5 S=57 arc=0.67 lr=0.35 w_ov=0.132 iou=[0.939, 0.932] acc=5
r10 171s L=0.7306 cov=[0.0113, 0.0128] ov=[0.02637, 0.04418] P=5 S=55 arc=0.69 lr=0.13 w_ov=0.135 iou=[0.94, 0.931] acc=5
r11 183s L=0.7072 cov=[0.011, 0.0127] ov=[0.02526, 0.04297] P=5 S=55 arc=0.71 lr=0.25 w_ov=0.139 iou=[0.941, 0.934] acc=5
r12 196s L=0.686 cov=[0.0109, 0.0123] ov=[0.02458, 0.04161] P=5 S=57 arc=0.74 lr=0.25 w_ov=0.142 iou=[0.941, 0.935] acc=5
r13 209s L=0.6514 cov=[0.0109, 0.0121] ov=[0.02296, 0.03978] P=5 S=58 arc=0.74 lr=0.25 w_ov=0.146 iou=[0.941, 0.936] acc=6
r14 223s L=0.6458 cov=[0.0107, 0.0115] ov=[0.02365, 0.03861] P=5 S=57 arc=0.75 lr=0.25 w_ov=0.149 iou=[0.942, 0.938] acc=7
r15 235s L=0.6319 cov=[0.0106, 0.0115] ov=[0.02317, 0.0377] P=5 S=57 arc=0.81 lr=0.18 w_ov=0.153 iou=[0.943, 0.937] acc=4
r16 250s L=0.614 cov=[0.0107, 0.0113] ov=[0.02275, 0.03634] P=5 S=57 arc=0.79 lr=0.25 w_ov=0.157 iou=[0.941, 0.939] acc=6
r17 265s L=0.6087 cov=[0.0106, 0.0112] ov=[0.02272, 0.03586] P=5 S=57 arc=0.79 lr=0.13 w_ov=0.162 iou=[0.942, 0.939] acc=3
r18 279s L=0.6025 cov=[0.0106, 0.011] ov=[0.02268, 0.03529] P=5 S=57 arc=0.79 lr=0.18 w_ov=0.166 iou=[0.942, 0.941] acc=5
r19 295s L=0.5997 cov=[0.0105, 0.0109] ov=[0.02283, 0.03489] P=5 S=57 arc=0.82 lr=0.088 w_ov=0.171 iou=[0.943, 0.942] acc=4
r20 307s L=0.594 cov=[0.0105, 0.0109] ov=[0.02258, 0.03457] P=5 S=57 arc=0.81 lr=0.18 w_ov=0.176 iou=[0.943, 0.942] acc=5
r21 321s L=0.5863 cov=[0.0105, 0.011] ov=[0.02218, 0.0342] P=5 S=57 arc=0.84 lr=0.18 w_ov=0.18 iou=[0.943, 0.942] acc=2
r22 335s L=0.5848 cov=[0.0104, 0.011] ov=[0.02216, 0.03407] P=5 S=56 arc=0.86 lr=0.044 w_ov=0.185 iou=[0.942, 0.941] acc=4
r23 347s L=0.5774 cov=[0.0104, 0.011] ov=[0.02182, 0.03367] P=5 S=55 arc=0.89 lr=0.18 w_ov=0.19 iou=[0.942, 0.942] acc=3
r24 362s L=0.5704 cov=[0.0104, 0.011] ov=[0.02154, 0.03325] P=5 S=55 arc=0.89 lr=0.18 w_ov=0.195 iou=[0.942, 0.941] acc=2
r25 377s L=0.5631 cov=[0.0104, 0.011] ov=[0.02136, 0.03271] P=5 S=55 arc=0.87 lr=0.35 w_ov=0.2 iou=[0.943, 0.942] acc=2
r26 392s L=0.5553 cov=[0.0105, 0.011] ov=[0.02091, 0.03237] P=5 S=55 arc=0.87 lr=0.18 w_ov=0.206 iou=[0.943, 0.942] acc=1
r27 406s L=0.5498 cov=[0.0105, 0.011] ov=[0.02071, 0.03201] P=5 S=55 arc=0.85 lr=0.35 w_ov=0.212 iou=[0.943, 0.941] acc=3
r28 419s L=0.5536 cov=[0.0106, 0.0113] ov=[0.02056, 0.03251] P=5 S=53 arc=0.83 lr=0.18 w_ov=0.218 iou=[0.942, 0.94] acc=6
r29 433s L=0.5267 cov=[0.0105, 0.0111] ov=[0.01934, 0.03105] P=5 S=53 arc=0.87 lr=0.25 w_ov=0.223 iou=[0.942, 0.941] acc=1
r30 447s L=0.5222 cov=[0.0105, 0.0111] ov=[0.01908, 0.03088] P=5 S=53 arc=0.87 lr=0.25 w_ov=0.23 iou=[0.942, 0.941] acc=4
r31 461s L=0.5196 cov=[0.0106, 0.0117] ov=[0.01914, 0.03048] P=5 S=53 arc=0.87 lr=0.13 w_ov=0.236 iou=[0.942, 0.942] acc=3
r32 473s L=0.5185 cov=[0.0105, 0.011] ov=[0.01903, 0.03056] P=5 S=53 arc=0.85 lr=0.13 w_ov=0.242 iou=[0.943, 0.943] acc=3
r33 487s L=0.5096 cov=[0.0106, 0.011] ov=[0.0185, 0.0302] P=5 S=53 arc=0.87 lr=0.18 w_ov=0.248 iou=[0.942, 0.943] acc=3
r34 500s L=0.5015 cov=[0.0106, 0.0111] ov=[0.01799, 0.0299] P=5 S=53 arc=0.87 lr=0.18 w_ov=0.254 iou=[0.942, 0.942] acc=2
r35 515s L=0.4979 cov=[0.0106, 0.011] ov=[0.0178, 0.02972] P=5 S=53 arc=0.87 lr=0.18 w_ov=0.261 iou=[0.941, 0.943] acc=2
r36 528s L=0.4894 cov=[0.0106, 0.0111] ov=[0.01742, 0.02924] P=5 S=53 arc=0.91 lr=0.18 w_ov=0.268 iou=[0.941, 0.941] acc=0
r37 543s L=0.481 cov=[0.0107, 0.0112] ov=[0.01694, 0.02887] P=5 S=52 arc=0.88 lr=0.25 w_ov=0.276 iou=[0.941, 0.939] acc=4
r38 557s L=0.4773 cov=[0.0107, 0.0116] ov=[0.01693, 0.02847] P=5 S=53 arc=0.85 lr=0.25 w_ov=0.283 iou=[0.942, 0.941] acc=5
r39 572s L=0.4675 cov=[0.0106, 0.0114] ov=[0.01631, 0.02813] P=5 S=53 arc=0.83 lr=0.25 w_ov=0.291 iou=[0.94, 0.939] acc=2
r40 584s L=0.4585 cov=[0.0108, 0.0113] ov=[0.01599, 0.02755] P=5 S=53 arc=0.85 lr=0.13 w_ov=0.3 iou=[0.94, 0.941] acc=2
r41 597s L=0.4541 cov=[0.0108, 0.0113] ov=[0.01582, 0.02728] P=5 S=53 arc=0.85 lr=0.13 w_ov=0.307 iou=[0.939, 0.941] acc=2
r42 610s L=0.4506 cov=[0.0109, 0.0112] ov=[0.01567, 0.02708] P=5 S=52 arc=0.87 lr=0.063 w_ov=0.315 iou=[0.941, 0.939] acc=2
r43 622s L=0.4476 cov=[0.0104, 0.0118] ov=[0.01557, 0.02688] P=5 S=53 arc=0.89 lr=0.25 w_ov=0.322 iou=[0.941, 0.938] acc=1
r44 635s L=0.4392 cov=[0.0104, 0.0118] ov=[0.01515, 0.02645] P=5 S=53 arc=0.87 lr=0.13 w_ov=0.33 iou=[0.941, 0.938] acc=4
r45 648s L=0.4354 cov=[0.0104, 0.0119] ov=[0.01506, 0.02615] P=5 S=52 arc=0.94 lr=0.063 w_ov=0.338 iou=[0.941, 0.937] acc=2
r46 661s L=0.4337 cov=[0.0104, 0.0118] ov=[0.01516, 0.02588] P=5 S=52 arc=0.92 lr=0.25 w_ov=0.346 iou=[0.94, 0.938] acc=2
r47 676s L=0.4309 cov=[0.0105, 0.0118] ov=[0.01506, 0.0257] P=5 S=52 arc=0.92 lr=0.088 w_ov=0.356 iou=[0.94, 0.939] acc=0
