r0 16s L=0.7955 cov=[0.0096, 0.0615] ov=[0.01721, 0.05508] P=5 S=92 arc=0.00 lr=0.5 w_ov=0.1 iou=[0.942, 0.767] acc=17
r1 32s L=0.8765 cov=[0.0066, 0.0348] ov=[0.02822, 0.05516] P=5 S=79 arc=0.09 lr=0.5 w_ov=0.103 iou=[0.96, 0.853] acc=12
r2 46s L=0.8835 cov=[0.0071, 0.0264] ov=[0.03077, 0.0541] P=5 S=74 arc=0.14 lr=0.18 w_ov=0.106 iou=[0.956, 0.882] acc=13
r3 61s L=0.8915 cov=[0.0077, 0.0235] ov=[0.03268, 0.05323] P=5 S=72 arc=0.24 lr=0.25 w_ov=0.109 iou=[0.954, 0.893] acc=12
r4 76s L=0.8748 cov=[0.0068, 0.0209] ov=[0.03301, 0.05158] P=5 S=69 arc=0.30 lr=0.25 w_ov=0.112 iou=[0.955, 0.903] acc=9
r5 91s L=0.8656 cov=[0.0068, 0.0189] ov=[0.03396, 0.04991] P=5 S=66 arc=0.38 lr=0.35 w_ov=0.116 iou=[0.954, 0.909] acc=6
r6 106s L=0.8458 cov=[0.0162, 0.0163] ov=[0.03308, 0.04814] P=5 S=64 arc=0.38 lr=0.18 w_ov=0.119 iou=[0.91, 0.92] acc=13
r7 121s L=0.8081 cov=[0.0074, 0.0142] ov=[0.03301, 0.04552] P=5 S=65 arc=0.48 lr=0.25 w_ov=0.123 iou=[0.955, 0.926] acc=10
r8 135s L=0.7312 cov=[0.0075, 0.0125] ov=[0.03003, 0.04097] P=5 S=63 arc=0.54 lr=0.25 w_ov=0.126 iou=[0.954, 0.933] acc=13
r9 152s L=0.6671 cov=[0.0089, 0.0111] ov=[0.02717, 0.03742] P=5 S=63 arc=0.65 lr=0.35 w_ov=0.13 iou=[0.948, 0.937] acc=10
r10 169s L=0.6442 cov=[0.0078, 0.0105] ov=[0.02628, 0.0362] P=5 S=62 arc=0.63 lr=0.13 w_ov=0.134 iou=[0.953, 0.941] acc=7
r11 185s L=0.6257 cov=[0.0076, 0.0103] ov=[0.02553, 0.03514] P=5 S=57 arc=0.68 lr=0.25 w_ov=0.138 iou=[0.954, 0.943] acc=9
r12 199s L=0.6115 cov=[0.0074, 0.0102] ov=[0.02482, 0.03447] P=5 S=56 arc=0.70 lr=0.25 w_ov=0.143 iou=[0.952, 0.943] acc=5
r13 214s L=0.5972 cov=[0.0074, 0.0097] ov=[0.02404, 0.03386] P=5 S=56 arc=0.77 lr=0.25 w_ov=0.147 iou=[0.953, 0.944] acc=7
r14 228s L=0.5733 cov=[0.0075, 0.0089] ov=[0.02321, 0.03238] P=5 S=55 arc=0.84 lr=0.35 w_ov=0.151 iou=[0.954, 0.948] acc=3
r15 243s L=0.5498 cov=[0.0077, 0.0083] ov=[0.02196, 0.03132] P=5 S=54 arc=0.78 lr=0.35 w_ov=0.155 iou=[0.952, 0.953] acc=6
r16 256s L=0.5192 cov=[0.0075, 0.0079] ov=[0.02102, 0.02925] P=5 S=54 arc=0.76 lr=0.13 w_ov=0.159 iou=[0.951, 0.955] acc=5
