r0 15s L=0.8618 cov=[0.0237, 0.0226] ov=[0.04103, 0.04036] P=5 S=83 arc=0.00 lr=0.5 w_ov=0.1 iou=[0.885, 0.897] acc=22
r1 27s L=0.9262 cov=[0.0166, 0.0208] ov=[0.04086, 0.04788] P=5 S=81 arc=0.14 lr=0.35 w_ov=0.103 iou=[0.91, 0.905] acc=16
r2 41s L=0.8415 cov=[0.0067, 0.0191] ov=[0.03751, 0.04393] P=5 S=79 arc=0.20 lr=0.088 w_ov=0.105 iou=[0.952, 0.912] acc=12
r3 55s L=0.8449 cov=[0.006, 0.019] ov=[0.03763, 0.04423] P=5 S=75 arc=0.33 lr=0.13 w_ov=0.108 iou=[0.957, 0.913] acc=9
r4 68s L=0.8527 cov=[0.0056, 0.0188] ov=[0.03853, 0.04418] P=5 S=69 arc=0.41 lr=0.13 w_ov=0.111 iou=[0.957, 0.914] acc=11
r5 82s L=0.8577 cov=[0.0051, 0.0187] ov=[0.03885, 0.04442] P=5 S=68 arc=0.44 lr=0.18 w_ov=0.114 iou=[0.959, 0.915] acc=7
r6 95s L=0.8533 cov=[0.0049, 0.0186] ov=[0.03856, 0.04431] P=5 S=64 arc=0.50 lr=0.25 w_ov=0.117 iou=[0.961, 0.915] acc=5
r7 108s L=0.8468 cov=[0.0045, 0.0187] ov=[0.03812, 0.04414] P=5 S=61 arc=0.48 lr=0.25 w_ov=0.12 iou=[0.962, 0.916] acc=8
r8 122s L=0.8277 cov=[0.0041, 0.0187] ov=[0.0367, 0.04368] P=5 S=60 arc=0.48 lr=0.25 w_ov=0.123 iou=[0.962, 0.913] acc=15
r9 135s L=0.8238 cov=[0.0048, 0.016] ov=[0.03604, 0.04416] P=5 S=59 arc=0.63 lr=0.18 w_ov=0.126 iou=[0.959, 0.921] acc=6
r10 148s L=0.7924 cov=[0.0043, 0.0133] ov=[0.034, 0.04337] P=5 S=60 arc=0.58 lr=0.18 w_ov=0.13 iou=[0.962, 0.936] acc=9
r11 161s L=0.7683 cov=[0.0037, 0.0116] ov=[0.03339, 0.0418] P=5 S=62 arc=0.66 lr=0.18 w_ov=0.133 iou=[0.964, 0.942] acc=5
r12 174s L=0.7657 cov=[0.0036, 0.0103] ov=[0.03347, 0.04159] P=5 S=61 arc=0.72 lr=0.25 w_ov=0.136 iou=[0.964, 0.948] acc=3
r13 187s L=0.7678 cov=[0.0036, 0.0094] ov=[0.03381, 0.04156] P=5 S=59 arc=0.73 lr=0.25 w_ov=0.14 iou=[0.964, 0.951] acc=7
r14 200s L=0.7567 cov=[0.0036, 0.0087] ov=[0.03344, 0.04088] P=5 S=57 arc=0.79 lr=0.25 w_ov=0.143 iou=[0.964, 0.953] acc=5
r15 215s L=0.8331 cov=[0.0096, 0.0118] ov=[0.03571, 0.04535] P=5 S=61 arc=0.75 lr=0.18 w_ov=0.147 iou=[0.935, 0.939] acc=11
r16 236s L=0.7501 cov=[0.0036, 0.008] ov=[0.03335, 0.04041] P=5 S=62 arc=0.76 lr=0.25 w_ov=0.151 iou=[0.964, 0.959] acc=2
r17 249s L=0.8183 cov=[0.0031, 0.009] ov=[0.03478, 0.04572] P=5 S=61 arc=0.74 lr=0.25 w_ov=0.157 iou=[0.967, 0.947] acc=8
r18 262s L=0.8108 cov=[0.0026, 0.0071] ov=[0.03673, 0.04328] P=5 S=64 arc=0.75 lr=0.25 w_ov=0.161 iou=[0.972, 0.965] acc=7
r19 275s L=0.7724 cov=[0.0025, 0.0055] ov=[0.03494, 0.04139] P=5 S=62 arc=0.71 lr=0.088 w_ov=0.165 iou=[0.972, 0.967] acc=7
r20 288s L=0.7603 cov=[0.0025, 0.0055] ov=[0.03427, 0.04085] P=5 S=59 arc=0.75 lr=0.063 w_ov=0.17 iou=[0.971, 0.967] acc=7
r21 300s L=0.7594 cov=[0.0025, 0.0054] ov=[0.03424, 0.0408] P=5 S=59 arc=0.78 lr=0.044 w_ov=0.174 iou=[0.97, 0.968] acc=2
r22 313s L=0.7672 cov=[0.0025, 0.0053] ov=[0.03459, 0.04123] P=5 S=59 arc=0.78 lr=0.088 w_ov=0.178 iou=[0.97, 0.966] acc=3
r23 323s L=0.7338 cov=[0.0025, 0.0057] ov=[0.03228, 0.04018] P=5 S=57 arc=0.81 lr=0.13 w_ov=0.182 iou=[0.971, 0.964] acc=3
r24 335s L=0.7313 cov=[0.0025, 0.0057] ov=[0.03217, 0.04004] P=5 S=57 arc=0.79 lr=0.25 w_ov=0.186 iou=[0.971, 0.965] acc=3
r25 348s L=0.7311 cov=[0.0025, 0.0057] ov=[0.03209, 0.04009] P=5 S=57 arc=0.82 lr=0.00098 w_ov=0.19 iou=[0.971, 0.965] acc=1
r26 360s L=0.7309 cov=[0.0025, 0.0057] ov=[0.03208, 0.04008] P=5 S=57 arc=0.82 lr=0.0002 w_ov=0.195 iou=[0.971, 0.965] acc=0
