r0 16s L=1.216 cov=[0.01, 0.0409] ov=[0.04245, 0.07385] P=6 S=98 arc=0.00 lr=0.35 w_ov=0.1 iou=[0.945, 0.811] acc=13
r1 31s L=1.027 cov=[0.006, 0.0197] ov=[0.04291, 0.05705] P=6 S=88 arc=0.06 lr=0.35 w_ov=0.103 iou=[0.96, 0.906] acc=16
r2 43s L=1.056 cov=[0.0055, 0.0174] ov=[0.04487, 0.0583] P=5 S=81 arc=0.12 lr=0.35 w_ov=0.106 iou=[0.956, 0.916] acc=16
r3 56s L=1.005 cov=[0.0068, 0.0156] ov=[0.04462, 0.0535] P=5 S=80 arc=0.24 lr=0.35 w_ov=0.109 iou=[0.959, 0.917] acc=11
r4 70s L=0.923 cov=[0.0067, 0.0148] ov=[0.03806, 0.05196] P=5 S=76 arc=0.26 lr=0.35 w_ov=0.111 iou=[0.959, 0.92] acc=17
r5 83s L=0.8764 cov=[0.0068, 0.0142] ov=[0.03639, 0.04902] P=5 S=72 arc=0.39 lr=0.35 w_ov=0.114 iou=[0.961, 0.922] acc=13
r6 96s L=0.8155 cov=[0.0091, 0.0125] ov=[0.03302, 0.04625] P=5 S=74 arc=0.46 lr=0.35 w_ov=0.117 iou=[0.942, 0.932] acc=15
r7 110s L=0.7805 cov=[0.0091, 0.0102] ov=[0.03306, 0.04294] P=5 S=74 arc=0.50 lr=0.35 w_ov=0.12 iou=[0.941, 0.942] acc=13
r8 123s L=0.7679 cov=[0.0063, 0.0081] ov=[0.0326, 0.04263] P=5 S=72 arc=0.53 lr=0.25 w_ov=0.123 iou=[0.96, 0.952] acc=7
r9 136s L=0.7464 cov=[0.0062, 0.0073] ov=[0.03167, 0.04149] P=5 S=72 arc=0.60 lr=0.35 w_ov=0.127 iou=[0.961, 0.955] acc=6
r10 149s L=0.7437 cov=[0.0061, 0.0061] ov=[0.03203, 0.041] P=5 S=69 arc=0.62 lr=0.18 w_ov=0.13 iou=[0.961, 0.962] acc=6
r11 163s L=0.7084 cov=[0.0059, 0.0057] ov=[0.03046, 0.03911] P=5 S=66 arc=0.67 lr=0.18 w_ov=0.133 iou=[0.962, 0.963] acc=9
r12 177s L=0.6938 cov=[0.0059, 0.0053] ov=[0.02973, 0.03843] P=5 S=65 arc=0.77 lr=0.25 w_ov=0.137 iou=[0.962, 0.964] acc=3
r13 191s L=0.6864 cov=[0.0059, 0.005] ov=[0.02942, 0.03802] P=5 S=64 arc=0.75 lr=0.25 w_ov=0.14 iou=[0.961, 0.964] acc=6
r14 205s L=0.6828 cov=[0.0056, 0.0049] ov=[0.02943, 0.03769] P=5 S=65 arc=0.75 lr=0.13 w_ov=0.144 iou=[0.962, 0.966] acc=4
r15 220s L=0.6764 cov=[0.0056, 0.0044] ov=[0.02944, 0.03708] P=5 S=65 arc=0.78 lr=0.18 w_ov=0.148 iou=[0.962, 0.97] acc=1
r16 235s L=0.6804 cov=[0.0054, 0.0042] ov=[0.02995, 0.03701] P=5 S=64 arc=0.77 lr=0.088 w_ov=0.153 iou=[0.964, 0.971] acc=5
r17 249s L=0.6662 cov=[0.0053, 0.0043] ov=[0.02916, 0.03639] P=5 S=64 arc=0.80 lr=0.13 w_ov=0.157 iou=[0.965, 0.971] acc=1
r18 263s L=0.6569 cov=[0.0051, 0.0043] ov=[0.02868, 0.03596] P=5 S=64 arc=0.80 lr=0.13 w_ov=0.161 iou=[0.965, 0.971] acc=2
r19 277s L=0.647 cov=[0.005, 0.0042] ov=[0.02819, 0.03547] P=5 S=64 arc=0.81 lr=0.13 w_ov=0.166 iou=[0.965, 0.971] acc=2
r20 291s L=0.6424 cov=[0.005, 0.0041] ov=[0.02805, 0.03517] P=5 S=63 arc=0.84 lr=0.13 w_ov=0.17 iou=[0.966, 0.971] acc=1
r21 305s L=0.6346 cov=[0.005, 0.0041] ov=[0.02778, 0.03467] P=5 S=63 arc=0.83 lr=0.13 w_ov=0.175 iou=[0.965, 0.972] acc=2
r22 320s L=0.6248 cov=[0.0049, 0.004] ov=[0.02731, 0.03416] P=5 S=63 arc=0.83 lr=0.13 w_ov=0.18 iou=[0.965, 0.972] acc=4
r23 334s L=0.6165 cov=[0.0049, 0.0041] ov=[0.02689, 0.03374] P=5 S=62 arc=0.87 lr=0.25 w_ov=0.185 iou=[0.965, 0.972] acc=3
r24 349s L=0.6004 cov=[0.0051, 0.0044] ov=[0.02617, 0.0328] P=5 S=62 arc=0.84 lr=0.25 w_ov=0.19 iou=[0.966, 0.97] acc=4
r25 364s L=0.5952 cov=[0.0049, 0.0043] ov=[0.02582, 0.03267] P=5 S=62 arc=0.82 lr=0.088 w_ov=0.195 iou=[0.967, 0.971] acc=2
r26 379s L=0.5868 cov=[0.0049, 0.0042] ov=[0.02543, 0.03223] P=5 S=61 arc=0.85 lr=0.088 w_ov=0.201 iou=[0.966, 0.972] acc=4
r27 393s L=0.5801 cov=[0.0049, 0.0042] ov=[0.02511, 0.03188] P=5 S=61 arc=0.90 lr=0.13 w_ov=0.207 iou=[0.967, 0.972] acc=0
r28 408s L=0.5702 cov=[0.0049, 0.0043] ov=[0.02467, 0.03131] P=5 S=62 arc=0.90 lr=0.18 w_ov=0.213 iou=[0.966, 0.97] acc=1
r29 423s L=0.55 cov=[0.0048, 0.0044] ov=[0.0234, 0.03057] P=5 S=62 arc=0.89 lr=0.18 w_ov=0.219 iou=[0.967, 0.969] acc=2
r30 437s L=0.5411 cov=[0.0048, 0.0044] ov=[0.02288, 0.0302] P=5 S=62 arc=0.90 lr=0.18 w_ov=0.225 iou=[0.967, 0.969] acc=1
r31 453s L=0.5233 cov=[0.0048, 0.0044] ov=[0.02192, 0.02939] P=5 S=62 arc=0.90 lr=0.18 w_ov=0.231 iou=[0.966, 0.969] acc=1
r32 467s L=0.5146 cov=[0.0048, 0.0044] ov=[0.02159, 0.02884] P=5 S=62 arc=0.90 lr=0.088 w_ov=0.238 iou=[0.966, 0.969] acc=1
r33 483s L=0.5076 cov=[0.0048, 0.0043] ov=[0.02128, 0.02845] P=5 S=62 arc=0.92 lr=0.088 w_ov=0.245 iou=[0.967, 0.969] acc=1
r34 497s L=0.4975 cov=[0.0048, 0.0043] ov=[0.02077, 0.02797] P=5 S=62 arc=0.92 lr=0.13 w_ov=0.253 iou=[0.966, 0.97] acc=1
r35 512s L=0.4871 cov=[0.0048, 0.0043] ov=[0.02032, 0.02737] P=5 S=62 arc=0.92 lr=0.13 w_ov=0.26 iou=[0.965, 0.97] acc=1
r36 527s L=0.4724 cov=[0.0049, 0.0044] ov=[0.01951, 0.02668] P=5 S=62 arc=0.92 lr=0.18 w_ov=0.267 iou=[0.964, 0.969] acc=1
r37 541s L=0.4577 cov=[0.005, 0.0045] ov=[0.01865, 0.02606] P=5 S=63 arc=0.90 lr=0.18 w_ov=0.275 iou=[0.965, 0.97] acc=4
r38 556s L=0.4352 cov=[0.005, 0.0046] ov=[0.01754, 0.0249] P=5 S=63 arc=0.92 lr=0.18 w_ov=0.282 iou=[0.965, 0.967] acc=1
r39 571s L=0.4288 cov=[0.0051, 0.0046] ov=[0.01733, 0.02447] P=5 S=65 arc=0.89 lr=0.18 w_ov=0.291 iou=[0.965, 0.969] acc=4
r40 586s L=0.4196 cov=[0.0049, 0.0046] ov=[0.01699, 0.02391] P=5 S=65 arc=0.89 lr=0.18 w_ov=0.299 iou=[0.965, 0.968] acc=2
r41 602s L=0.4123 cov=[0.0049, 0.0045] ov=[0.01667, 0.0235] P=5 S=65 arc=0.91 lr=0.18 w_ov=0.308 iou=[0.965, 0.969] acc=1
r42 618s L=0.4018 cov=[0.0049, 0.0046] ov=[0.01626, 0.02284] P=5 S=64 arc=0.89 lr=0.18 w_ov=0.317 iou=[0.966, 0.969] acc=3
r43 634s L=0.3953 cov=[0.005, 0.0049] ov=[0.01599, 0.02243] P=5 S=65 arc=0.88 lr=0.18 w_ov=0.328 iou=[0.967, 0.967] acc=2
r44 649s L=0.3676 cov=[0.0055, 0.005] ov=[0.01451, 0.02108] P=5 S=64 arc=0.88 lr=0.088 w_ov=0.337 iou=[0.961, 0.967] acc=3
r45 666s L=0.3488 cov=[0.0054, 0.0049] ov=[0.01348, 0.02027] P=5 S=63 arc=0.90 lr=0.088 w_ov=0.348 iou=[0.965, 0.969] acc=3
r46 681s L=0.3374 cov=[0.0054, 0.005] ov=[0.01293, 0.01966] P=5 S=62 arc=0.92 lr=0.088 w_ov=0.359 iou=[0.965, 0.967] acc=3
r47 697s L=0.3222 cov=[0.0055, 0.0052] ov=[0.01188, 0.01916] P=5 S=62 arc=0.94 lr=0.088 w_ov=0.369 iou=[0.964, 0.966] acc=1
r48 711s L=0.3144 cov=[0.006, 0.0072] ov=[0.01067, 0.01934] P=5 S=62 arc=0.94 lr=0.25 w_ov=0.381 iou=[0.897, 0.954] acc=4
r49 726s L=0.2826 cov=[0.0062, 0.0053] ov=[0.00962, 0.01738] P=5 S=63 arc=0.87 lr=0.25 w_ov=0.392 iou=[0.96, 0.965] acc=7
r50 741s L=0.2812 cov=[0.0079, 0.0077] ov=[0.00872, 0.01773] P=5 S=61 arc=0.84 lr=0.13 w_ov=0.403 iou=[0.948, 0.95] acc=7
r51 755s L=0.2523 cov=[0.0061, 0.0056] ov=[0.00768, 0.01626] P=5 S=59 arc=0.88 lr=0.088 w_ov=0.415 iou=[0.959, 0.965] acc=5
r52 769s L=0.2427 cov=[0.0061, 0.0056] ov=[0.00746, 0.01552] P=5 S=59 arc=0.90 lr=0.18 w_ov=0.426 iou=[0.96, 0.965] acc=1
r53 784s L=0.2364 cov=[0.0062, 0.0057] ov=[0.0071, 0.01525] P=5 S=59 arc=0.88 lr=0.18 w_ov=0.438 iou=[0.959, 0.964] acc=1
r54 799s L=0.2269 cov=[0.0063, 0.0058] ov=[0.00667, 0.01469] P=5 S=59 arc=0.88 lr=0.088 w_ov=0.45 iou=[0.958, 0.964] acc=4
r55 813s L=0.2201 cov=[0.0064, 0.0059] ov=[0.0063, 0.01438] P=5 S=59 arc=0.93 lr=0.088 w_ov=0.464 iou=[0.957, 0.964] acc=2
r56 827s L=0.2132 cov=[0.0065, 0.006] ov=[0.006, 0.01397] P=5 S=59 arc=0.95 lr=0.13 w_ov=0.476 iou=[0.956, 0.962] acc=0
r57 841s L=0.2068 cov=[0.0066, 0.0061] ov=[0.00569, 0.01362] P=5 S=59 arc=0.95 lr=0.13 w_ov=0.489 iou=[0.956, 0.962] acc=1
r58 855s L=0.2005 cov=[0.0066, 0.0062] ov=[0.00534, 0.01331] P=5 S=59 arc=0.95 lr=0.13 w_ov=0.503 iou=[0.955, 0.961] acc=1
r59 870s L=0.1938 cov=[0.0067, 0.0064] ov=[0.00497, 0.01299] P=5 S=59 arc=0.95 lr=0.063 w_ov=0.516 iou=[0.955, 0.962] acc=1
r60 885s L=0.1882 cov=[0.0068, 0.0065] ov=[0.00467, 0.01271] P=5 S=59 arc=0.97 lr=0.088 w_ov=0.531 iou=[0.954, 0.96] acc=0
r61 900s L=0.184 cov=[0.007, 0.0064] ov=[0.00441, 0.01254] P=5 S=58 arc=0.97 lr=0.088 w_ov=0.547 iou=[0.954, 0.962] acc=1
r62 916s L=0.18 cov=[0.0071, 0.0065] ov=[0.00425, 0.01228] P=5 S=58 arc=0.97 lr=0.13 w_ov=0.563 iou=[0.954, 0.96] acc=1
r63 930s L=0.1776 cov=[0.0071, 0.0065] ov=[0.00415, 0.01214] P=5 S=58 arc=0.98 lr=0.063 w_ov=0.58 iou=[0.953, 0.959] acc=0
r64 944s L=0.1752 cov=[0.0071, 0.0066] ov=[0.00404, 0.012] P=5 S=58 arc=0.98 lr=0.088 w_ov=0.596 iou=[0.953, 0.959] acc=0
r65 959s L=0.1723 cov=[0.0072, 0.0067] ov=[0.00392, 0.01181] P=5 S=59 arc=0.97 lr=0.13 w_ov=0.612 iou=[0.952, 0.958] acc=2
r66 974s L=0.1667 cov=[0.0073, 0.0067] ov=[0.00365, 0.01152] P=5 S=59 arc=0.95 lr=0.13 w_ov=0.63 iou=[0.952, 0.958] acc=2
r67 988s L=0.1623 cov=[0.0072, 0.0067] ov=[0.00359, 0.01114] P=5 S=58 arc=0.97 lr=0.18 w_ov=0.648 iou=[0.951, 0.958] acc=1
r68 1004s L=0.1549 cov=[0.0073, 0.0068] ov=[0.00337, 0.0106] P=5 S=58 arc=0.95 lr=0.18 w_ov=0.666 iou=[0.951, 0.958] acc=1
r69 1019s L=0.1567 cov=[0.0076, 0.0084] ov=[0.00303, 0.01093] P=5 S=64 arc=0.92 lr=0.18 w_ov=0.687 iou=[0.948, 0.948] acc=10
r70 1035s L=0.1449 cov=[0.0076, 0.0076] ov=[0.00307, 0.00978] P=5 S=65 arc=0.85 lr=0.18 w_ov=0.707 iou=[0.949, 0.955] acc=10
r71 1050s L=0.132 cov=[0.0079, 0.0071] ov=[0.00225, 0.00934] P=5 S=63 arc=0.86 lr=0.063 w_ov=0.729 iou=[0.949, 0.956] acc=2
r72 1065s L=0.1282 cov=[0.0078, 0.0072] ov=[0.00217, 0.00904] P=5 S=63 arc=0.86 lr=0.088 w_ov=0.75 iou=[0.949, 0.956] acc=3
r73 1079s L=0.1257 cov=[0.0078, 0.0071] ov=[0.00212, 0.00884] P=5 S=63 arc=0.90 lr=0.063 w_ov=0.771 iou=[0.948, 0.956] acc=0
r74 1093s L=0.1236 cov=[0.0079, 0.0071] ov=[0.00205, 0.0087] P=5 S=61 arc=0.92 lr=0.063 w_ov=0.793 iou=[0.948, 0.956] acc=2
r75 1107s L=0.12 cov=[0.008, 0.0072] ov=[0.00202, 0.00836] P=5 S=60 arc=0.93 lr=0.031 w_ov=0.814 iou=[0.947, 0.955] acc=3
r76 1120s L=0.1156 cov=[0.0081, 0.0072] ov=[0.00198, 0.00794] P=5 S=60 arc=0.97 lr=0.063 w_ov=0.837 iou=[0.946, 0.955] acc=1
r77 1134s L=0.1135 cov=[0.0082, 0.0072] ov=[0.00195, 0.00775] P=5 S=60 arc=0.98 lr=0.022 w_ov=0.858 iou=[0.946, 0.956] acc=0
r78 1149s L=0.1114 cov=[0.0083, 0.0072] ov=[0.00189, 0.0076] P=5 S=60 arc=0.98 lr=0.031 w_ov=0.882 iou=[0.946, 0.955] acc=0
r79 1162s L=0.1099 cov=[0.0083, 0.0072] ov=[0.00187, 0.00746] P=5 S=60 arc=0.98 lr=0.031 w_ov=0.907 iou=[0.946, 0.954] acc=0
r80 1178s L=0.1084 cov=[0.0083, 0.0073] ov=[0.00186, 0.00731] P=5 S=60 arc=0.98 lr=0.044 w_ov=0.931 iou=[0.945, 0.954] acc=1
r81 1192s L=0.107 cov=[0.0084, 0.0073] ov=[0.00184, 0.00719] P=5 S=60 arc=1.00 lr=0.022 w_ov=0.958 iou=[0.946, 0.954] acc=0
r82 1207s L=0.1049 cov=[0.0084, 0.0075] ov=[0.00177, 0.00702] P=5 S=60 arc=0.98 lr=0.063 w_ov=0.984 iou=[0.946, 0.953] acc=1
r83 1221s L=0.1024 cov=[0.0086, 0.0075] ov=[0.00169, 0.00683] P=5 S=60 arc=0.98 lr=0.031 w_ov=1.01 iou=[0.945, 0.953] acc=0
r84 1235s L=0.1006 cov=[0.0086, 0.0075] ov=[0.00164, 0.00669] P=5 S=60 arc=0.98 lr=0.044 w_ov=1.04 iou=[0.945, 0.953] acc=0
r85 1248s L=0.09904 cov=[0.0087, 0.0074] ov=[0.00163, 0.00655] P=5 S=60 arc=0.97 lr=0.063 w_ov=1.07 iou=[0.945, 0.953] acc=1
