r0 12s L=1.616 cov=[0.0274, 0.0387] ov=[0.07217, 0.08265] P=7 S=64 arc=0.00 lr=0.5 w_ov=0.1 iou=[0.871, 0.883] acc=17
r1 23s L=1.149 cov=[0.0163, 0.013] ov=[0.05381, 0.05807] P=6 S=62 arc=0.11 lr=0.5 w_ov=0.102 iou=[0.93, 0.941] acc=14
r2 34s L=1.131 cov=[0.0125, 0.0093] ov=[0.0503, 0.06047] P=6 S=62 arc=0.23 lr=0.5 w_ov=0.105 iou=[0.943, 0.954] acc=12
r3 45s L=1.084 cov=[0.0089, 0.0083] ov=[0.04966, 0.05684] P=6 S=66 arc=0.33 lr=0.5 w_ov=0.107 iou=[0.954, 0.959] acc=14
r4 65s L=0.9256 cov=[0.0071, 0.0098] ov=[0.03994, 0.05083] P=6 S=66 arc=0.38 lr=0.5 w_ov=0.109 iou=[0.959, 0.934] acc=8
r5 76s L=0.8585 cov=[0.0075, 0.0077] ov=[0.03731, 0.04689] P=6 S=75 arc=0.40 lr=0.5 w_ov=0.113 iou=[0.958, 0.959] acc=15
r6 87s L=0.7638 cov=[0.0039, 0.0037] ov=[0.03441, 0.04105] P=7 S=74 arc=0.41 lr=0.35 w_ov=0.116 iou=[0.968, 0.978] acc=14
r7 99s L=0.7237 cov=[0.0034, 0.0032] ov=[0.03266, 0.03891] P=6 S=68 arc=0.50 lr=0.13 w_ov=0.118 iou=[0.966, 0.978] acc=10
r8 112s L=0.6222 cov=[0.004, 0.0027] ov=[0.02847, 0.03295] P=6 S=67 arc=0.55 lr=0.18 w_ov=0.121 iou=[0.969, 0.98] acc=7
r9 124s L=0.5709 cov=[0.0043, 0.0087] ov=[0.02518, 0.03049] P=6 S=66 arc=0.59 lr=0.25 w_ov=0.124 iou=[0.967, 0.952] acc=10
r10 136s L=0.5161 cov=[0.0035, 0.0024] ov=[0.02353, 0.02736] P=6 S=65 arc=0.65 lr=0.35 w_ov=0.127 iou=[0.97, 0.982] acc=9
r11 148s L=0.4892 cov=[0.0033, 0.0024] ov=[0.02206, 0.02617] P=6 S=64 arc=0.72 lr=0.35 w_ov=0.13 iou=[0.971, 0.983] acc=7
r12 160s L=0.4827 cov=[0.0031, 0.0025] ov=[0.02131, 0.02626] P=6 S=59 arc=0.81 lr=0.25 w_ov=0.133 iou=[0.972, 0.981] acc=6
r13 172s L=0.4458 cov=[0.003, 0.0024] ov=[0.01958, 0.02434] P=6 S=58 arc=0.79 lr=0.25 w_ov=0.136 iou=[0.974, 0.983] acc=4
r14 183s L=0.446 cov=[0.0029, 0.0022] ov=[0.01973, 0.02423] P=6 S=54 arc=0.83 lr=0.13 w_ov=0.139 iou=[0.975, 0.985] acc=5
r15 193s L=0.435 cov=[0.0029, 0.0022] ov=[0.01914, 0.02373] P=6 S=53 arc=0.87 lr=0.25 w_ov=0.142 iou=[0.975, 0.984] acc=1
r16 204s L=0.4497 cov=[0.0031, 0.0026] ov=[0.01983, 0.02445] P=6 S=52 arc=0.81 lr=0.35 w_ov=0.145 iou=[0.971, 0.981] acc=7
r17 215s L=0.4168 cov=[0.0029, 0.0021] ov=[0.01834, 0.02272] P=6 S=51 arc=0.84 lr=0.088 w_ov=0.148 iou=[0.973, 0.984] acc=2
r18 226s L=0.4114 cov=[0.0029, 0.0021] ov=[0.01805, 0.02249] P=6 S=50 arc=0.88 lr=0.13 w_ov=0.151 iou=[0.974, 0.983] acc=3
r19 237s L=0.4017 cov=[0.0028, 0.0022] ov=[0.01754, 0.02202] P=6 S=50 arc=0.92 lr=0.18 w_ov=0.154 iou=[0.974, 0.983] acc=0
r20 246s L=0.3821 cov=[0.0029, 0.0026] ov=[0.01629, 0.02126] P=6 S=51 arc=0.92 lr=0.25 w_ov=0.157 iou=[0.973, 0.983] acc=5
r21 256s L=0.3684 cov=[0.0028, 0.0024] ov=[0.01573, 0.02049] P=6 S=51 arc=0.88 lr=0.25 w_ov=0.16 iou=[0.974, 0.982] acc=2
r22 265s L=0.3615 cov=[0.0028, 0.0024] ov=[0.01544, 0.02007] P=6 S=50 arc=0.88 lr=0.13 w_ov=0.164 iou=[0.974, 0.983] acc=4
r23 275s L=0.356 cov=[0.0028, 0.0024] ov=[0.01527, 0.0197] P=6 S=49 arc=0.94 lr=0.18 w_ov=0.166 iou=[0.974, 0.983] acc=1
r24 286s L=0.3465 cov=[0.0028, 0.0025] ov=[0.01465, 0.01935] P=6 S=48 arc=0.92 lr=0.25 w_ov=0.17 iou=[0.973, 0.982] acc=2
r25 296s L=0.346 cov=[0.0028, 0.0024] ov=[0.01478, 0.0192] P=6 S=48 arc=0.92 lr=0.25 w_ov=0.173 iou=[0.975, 0.983] acc=0
r26 306s L=0.3378 cov=[0.0028, 0.0026] ov=[0.01432, 0.01882] P=6 S=48 arc=0.90 lr=0.13 w_ov=0.176 iou=[0.974, 0.983] acc=4
r27 315s L=0.3348 cov=[0.0028, 0.0025] ov=[0.0143, 0.01855] P=6 S=48 arc=0.96 lr=0.13 w_ov=0.18 iou=[0.975, 0.983] acc=1
r28 325s L=0.3256 cov=[0.0028, 0.0025] ov=[0.01365, 0.01827] P=6 S=47 arc=0.98 lr=0.13 w_ov=0.183 iou=[0.975, 0.983] acc=2
r29 335s L=0.3125 cov=[0.0029, 0.0029] ov=[0.01273, 0.01784] P=6 S=46 arc=0.98 lr=0.18 w_ov=0.187 iou=[0.974, 0.982] acc=2
r30 344s L=0.3099 cov=[0.0028, 0.0026] ov=[0.01275, 0.0176] P=6 S=46 arc=0.91 lr=0.25 w_ov=0.19 iou=[0.974, 0.982] acc=3
r31 354s L=0.3128 cov=[0.0028, 0.0025] ov=[0.01319, 0.01745] P=6 S=46 arc=0.87 lr=0.13 w_ov=0.194 iou=[0.973, 0.982] acc=2
r32 363s L=0.2957 cov=[0.0028, 0.0026] ov=[0.01195, 0.01698] P=6 S=46 arc=0.87 lr=0.13 w_ov=0.197 iou=[0.974, 0.982] acc=3
r33 373s L=0.2861 cov=[0.0027, 0.0027] ov=[0.01128, 0.01667] P=6 S=46 arc=0.87 lr=0.18 w_ov=0.201 iou=[0.974, 0.982] acc=2
r34 383s L=0.276 cov=[0.0027, 0.0029] ov=[0.01057, 0.01636] P=6 S=46 arc=0.87 lr=0.063 w_ov=0.205 iou=[0.974, 0.981] acc=4
r35 393s L=0.2726 cov=[0.0027, 0.0027] ov=[0.01047, 0.01614] P=6 S=46 arc=0.93 lr=0.13 w_ov=0.209 iou=[0.973, 0.982] acc=2
r36 402s L=0.2677 cov=[0.0027, 0.0027] ov=[0.01018, 0.01593] P=6 S=47 arc=0.94 lr=0.25 w_ov=0.212 iou=[0.974, 0.982] acc=2
r37 411s L=0.3161 cov=[0.0026, 0.0029] ov=[0.01265, 0.0183] P=6 S=46 arc=0.85 lr=0.13 w_ov=0.216 iou=[0.974, 0.98] acc=6
r38 421s L=0.2496 cov=[0.0028, 0.0028] ov=[0.00904, 0.01526] P=6 S=45 arc=0.80 lr=0.18 w_ov=0.22 iou=[0.975, 0.982] acc=5
r39 430s L=0.2456 cov=[0.0028, 0.0027] ov=[0.00903, 0.01488] P=6 S=45 arc=0.84 lr=0.063 w_ov=0.224 iou=[0.975, 0.981] acc=1
r40 440s L=0.2349 cov=[0.0028, 0.0028] ov=[0.00828, 0.01454] P=6 S=45 arc=0.87 lr=0.25 w_ov=0.228 iou=[0.975, 0.982] acc=0
r41 449s L=0.2258 cov=[0.0028, 0.0028] ov=[0.00773, 0.01418] P=6 S=45 arc=0.87 lr=0.088 w_ov=0.232 iou=[0.975, 0.982] acc=1
