r0 11s L=0.9702 cov=[0.0087, 0.0221] ov=[0.03819, 0.05562] P=6 S=66 arc=0.00 lr=0.71 w_ov=0.1 iou=[0.939, 0.865] acc=21
r1 21s L=0.9184 cov=[0.0037, 0.0138] ov=[0.04055, 0.04941] P=6 S=63 arc=0.14 lr=0.25 w_ov=0.104 iou=[0.961, 0.902] acc=14
r2 33s L=0.8522 cov=[0.0025, 0.0131] ov=[0.03794, 0.0456] P=6 S=64 arc=0.30 lr=0.35 w_ov=0.108 iou=[0.965, 0.909] acc=10
r3 46s L=0.8223 cov=[0.0025, 0.0119] ov=[0.03677, 0.04389] P=6 S=63 arc=0.44 lr=0.25 w_ov=0.114 iou=[0.963, 0.916] acc=10
r4 58s L=0.7922 cov=[0.0024, 0.011] ov=[0.03568, 0.04207] P=6 S=61 arc=0.54 lr=0.25 w_ov=0.119 iou=[0.965, 0.917] acc=11
r5 72s L=0.7746 cov=[0.0024, 0.0101] ov=[0.03505, 0.04103] P=6 S=61 arc=0.67 lr=0.25 w_ov=0.125 iou=[0.966, 0.923] acc=5
r6 83s L=0.7598 cov=[0.0031, 0.0086] ov=[0.03546, 0.03923] P=6 S=60 arc=0.67 lr=0.35 w_ov=0.132 iou=[0.962, 0.933] acc=17
r7 95s L=0.6987 cov=[0.004, 0.0074] ov=[0.03092, 0.03769] P=6 S=59 arc=0.73 lr=0.35 w_ov=0.138 iou=[0.957, 0.939] acc=7
r8 105s L=0.6973 cov=[0.0027, 0.0064] ov=[0.03219, 0.03651] P=6 S=61 arc=0.69 lr=0.35 w_ov=0.144 iou=[0.963, 0.944] acc=9
r9 115s L=0.6819 cov=[0.0026, 0.0055] ov=[0.03157, 0.03568] P=6 S=58 arc=0.71 lr=0.18 w_ov=0.149 iou=[0.968, 0.949] acc=8
r10 127s L=0.6452 cov=[0.0025, 0.0053] ov=[0.03, 0.03361] P=6 S=51 arc=0.75 lr=0.25 w_ov=0.156 iou=[0.882, 0.956] acc=5
r11 140s L=0.4558 cov=[0.0181, 0.0045] ov=[0.02812, 0.01509] P=6 S=53 arc=0.74 lr=0.5 w_ov=0.163 iou=[0.894, 0.956] acc=11
r12 149s L=0.3683 cov=[0.0172, 0.0036] ov=[0.02315, 0.01148] P=6 S=53 arc=0.74 lr=0.5 w_ov=0.171 iou=[0.9, 0.961] acc=4
r13 157s L=0.3513 cov=[0.0164, 0.003] ov=[0.02248, 0.0106] P=6 S=52 arc=0.73 lr=0.25 w_ov=0.177 iou=[0.901, 0.964] acc=5
r14 166s L=0.2758 cov=[0.0159, 0.0027] ov=[0.01827, 0.00734] P=6 S=51 arc=0.76 lr=0.25 w_ov=0.183 iou=[0.902, 0.966] acc=3
r15 175s L=0.2472 cov=[0.0157, 0.0024] ov=[0.01727, 0.00552] P=6 S=51 arc=0.78 lr=0.25 w_ov=0.189 iou=[0.905, 0.967] acc=6
r16 184s L=0.2151 cov=[0.0157, 0.0025] ov=[0.0154, 0.00418] P=6 S=49 arc=0.90 lr=0.25 w_ov=0.196 iou=[0.906, 0.964] acc=6
r17 193s L=0.2037 cov=[0.0152, 0.0025] ov=[0.01458, 0.00392] P=6 S=48 arc=0.90 lr=0.25 w_ov=0.203 iou=[0.907, 0.969] acc=3
