r0 12s L=0.2852 cov=[0.0028, 0.0126] ov=[0.00391, 0.02292] P=6 S=85 arc=0.00 lr=0.35 w_ov=0.1 iou=[0.964, 0.919] acc=14
r1 24s L=0.3291 cov=[0.0037, 0.0108] ov=[0.00702, 0.02429] P=6 S=83 arc=0.12 lr=0.28 w_ov=0.105 iou=[0.961, 0.927] acc=14
r2 35s L=0.3492 cov=[0.004, 0.01] ov=[0.00881, 0.02456] P=6 S=79 arc=0.24 lr=0.14 w_ov=0.11 iou=[0.961, 0.929] acc=15
r3 45s L=0.3427 cov=[0.0038, 0.01] ov=[0.00888, 0.02387] P=6 S=78 arc=0.38 lr=0.2 w_ov=0.114 iou=[0.964, 0.929] acc=12
r4 55s L=0.3015 cov=[0.0043, 0.0096] ov=[0.00695, 0.02167] P=6 S=74 arc=0.53 lr=0.5 w_ov=0.119 iou=[0.963, 0.928] acc=10
r5 67s L=0.3387 cov=[0.0042, 0.0095] ov=[0.00912, 0.02325] P=6 S=71 arc=0.61 lr=0.099 w_ov=0.123 iou=[0.962, 0.93] acc=7
r6 78s L=0.3505 cov=[0.0041, 0.0095] ov=[0.00968, 0.02388] P=6 S=70 arc=0.64 lr=0.099 w_ov=0.129 iou=[0.962, 0.931] acc=5
r7 91s L=0.2845 cov=[0.0047, 0.009] ov=[0.00669, 0.02026] P=6 S=67 arc=0.64 lr=0.17 w_ov=0.135 iou=[0.955, 0.935] acc=8
r8 103s L=0.2973 cov=[0.0046, 0.0086] ov=[0.00774, 0.02053] P=6 S=64 arc=0.64 lr=0.2 w_ov=0.142 iou=[0.955, 0.935] acc=9
r9 114s L=0.323 cov=[0.0047, 0.0085] ov=[0.00922, 0.02163] P=6 S=63 arc=0.71 lr=0.098 w_ov=0.149 iou=[0.957, 0.935] acc=5
r10 124s L=0.3024 cov=[0.0047, 0.0086] ov=[0.00788, 0.02091] P=6 S=63 arc=0.71 lr=0.14 w_ov=0.155 iou=[0.956, 0.936] acc=6
r11 135s L=0.2877 cov=[0.0047, 0.0085] ov=[0.00722, 0.02011] P=6 S=62 arc=0.73 lr=0.14 w_ov=0.161 iou=[0.957, 0.938] acc=8
r12 146s L=0.2729 cov=[0.005, 0.008] ov=[0.00643, 0.01944] P=6 S=61 arc=0.80 lr=0.27 w_ov=0.168 iou=[0.957, 0.936] acc=4
r13 156s L=0.2618 cov=[0.0048, 0.008] ov=[0.00638, 0.0184] P=6 S=61 arc=0.84 lr=0.19 w_ov=0.175 iou=[0.958, 0.94] acc=2
r14 166s L=0.282 cov=[0.0051, 0.0076] ov=[0.00754, 0.01926] P=6 S=59 arc=0.81 lr=0.096 w_ov=0.182 iou=[0.956, 0.94] acc=3
r15 175s L=0.2759 cov=[0.005, 0.0077] ov=[0.00706, 0.01914] P=6 S=59 arc=0.80 lr=0.095 w_ov=0.189 iou=[0.956, 0.94] acc=3
r16 184s L=0.2616 cov=[0.0052, 0.0075] ov=[0.00635, 0.01842] P=6 S=58 arc=0.81 lr=0.095 w_ov=0.196 iou=[0.955, 0.94] acc=4
r17 194s L=0.2585 cov=[0.0049, 0.0076] ov=[0.00635, 0.01814] P=6 S=58 arc=0.78 lr=0.13 w_ov=0.203 iou=[0.956, 0.94] acc=5
r18 204s L=0.2351 cov=[0.0049, 0.0076] ov=[0.0053, 0.01684] P=6 S=58 arc=0.79 lr=0.27 w_ov=0.211 iou=[0.956, 0.941] acc=2
r19 213s L=0.2431 cov=[0.0049, 0.0075] ov=[0.00567, 0.01728] P=6 S=58 arc=0.81 lr=0.093 w_ov=0.219 iou=[0.956, 0.939] acc=2
r20 223s L=0.2363 cov=[0.0051, 0.0073] ov=[0.00558, 0.01669] P=6 S=57 arc=0.82 lr=0.093 w_ov=0.226 iou=[0.958, 0.94] acc=3
r21 233s L=0.2342 cov=[0.0052, 0.0072] ov=[0.00596, 0.0161] P=6 S=57 arc=0.86 lr=0.13 w_ov=0.235 iou=[0.955, 0.943] acc=3
r22 242s L=0.2195 cov=[0.0053, 0.0073] ov=[0.00513, 0.01545] P=6 S=57 arc=0.88 lr=0.13 w_ov=0.245 iou=[0.954, 0.939] acc=2
r23 252s L=0.2121 cov=[0.0053, 0.0074] ov=[0.00461, 0.01521] P=6 S=57 arc=0.88 lr=0.09 w_ov=0.253 iou=[0.953, 0.939] acc=1
r24 261s L=0.2192 cov=[0.0053, 0.0073] ov=[0.00511, 0.01544] P=6 S=57 arc=0.88 lr=0.09 w_ov=0.263 iou=[0.953, 0.94] acc=1
r25 271s L=0.2046 cov=[0.0056, 0.0072] ov=[0.00428, 0.01478] P=6 S=57 arc=0.88 lr=0.089 w_ov=0.272 iou=[0.95, 0.94] acc=4
r26 281s L=0.1969 cov=[0.0053, 0.0076] ov=[0.00389, 0.01439] P=6 S=57 arc=0.93 lr=0.088 w_ov=0.283 iou=[0.954, 0.937] acc=1
r27 290s L=0.1897 cov=[0.0056, 0.0074] ov=[0.00366, 0.0139] P=6 S=57 arc=0.91 lr=0.17 w_ov=0.294 iou=[0.952, 0.94] acc=3
r28 300s L=0.188 cov=[0.0055, 0.0076] ov=[0.0035, 0.01386] P=6 S=56 arc=0.95 lr=0.086 w_ov=0.305 iou=[0.95, 0.938] acc=2
r29 310s L=0.1784 cov=[0.0057, 0.0075] ov=[0.003, 0.01341] P=6 S=56 arc=0.96 lr=0.12 w_ov=0.317 iou=[0.95, 0.937] acc=1
r30 320s L=0.1777 cov=[0.0056, 0.0076] ov=[0.00291, 0.01342] P=6 S=56 arc=0.98 lr=0.085 w_ov=0.329 iou=[0.952, 0.936] acc=0
r31 330s L=0.1733 cov=[0.0058, 0.0074] ov=[0.00286, 0.01304] P=6 S=56 arc=0.98 lr=0.084 w_ov=0.342 iou=[0.952, 0.936] acc=0
r32 340s L=0.1687 cov=[0.006, 0.0073] ov=[0.00255, 0.01287] P=6 S=56 arc=0.95 lr=0.083 w_ov=0.355 iou=[0.949, 0.937] acc=2
r33 349s L=0.1619 cov=[0.0063, 0.0072] ov=[0.00264, 0.01208] P=6 S=55 arc=0.95 lr=0.16 w_ov=0.369 iou=[0.947, 0.939] acc=1
r34 359s L=0.1663 cov=[0.0074, 0.0082] ov=[0.00179, 0.01316] P=6 S=56 arc=0.93 lr=0.29 w_ov=0.382 iou=[0.942, 0.936] acc=13
r35 370s L=0.1762 cov=[0.0072, 0.0069] ov=[0.00396, 0.01214] P=6 S=55 arc=0.91 lr=0.28 w_ov=0.396 iou=[0.942, 0.942] acc=7
r36 380s L=0.1734 cov=[0.0097, 0.0088] ov=[0.00194, 0.01344] P=6 S=56 arc=0.89 lr=0.14 w_ov=0.414 iou=[0.924, 0.929] acc=5
r37 391s L=0.1567 cov=[0.0069, 0.007] ov=[0.00263, 0.01154] P=6 S=55 arc=0.91 lr=0.14 w_ov=0.431 iou=[0.944, 0.941] acc=2
r38 401s L=0.1464 cov=[0.0071, 0.007] ov=[0.0023, 0.01081] P=6 S=56 arc=0.88 lr=0.22 w_ov=0.448 iou=[0.944, 0.94] acc=5
r39 412s L=0.1403 cov=[0.0075, 0.0069] ov=[0.00202, 0.01045] P=6 S=55 arc=0.89 lr=0.075 w_ov=0.467 iou=[0.942, 0.941] acc=3
r40 423s L=0.1387 cov=[0.0074, 0.0069] ov=[0.00213, 0.0102] P=6 S=54 arc=0.93 lr=0.1 w_ov=0.487 iou=[0.941, 0.941] acc=2
r41 434s L=0.1387 cov=[0.0071, 0.007] ov=[0.00207, 0.01027] P=6 S=54 arc=0.93 lr=0.1 w_ov=0.508 iou=[0.943, 0.939] acc=1
r42 445s L=0.136 cov=[0.0074, 0.0068] ov=[0.00212, 0.00995] P=6 S=54 arc=0.85 lr=0.2 w_ov=0.53 iou=[0.942, 0.939] acc=5
r43 454s L=0.1337 cov=[0.0071, 0.0072] ov=[0.00207, 0.00975] P=6 S=53 arc=0.87 lr=0.2 w_ov=0.551 iou=[0.941, 0.94] acc=5
r44 464s L=0.1283 cov=[0.0071, 0.0074] ov=[0.00185, 0.00942] P=6 S=53 arc=0.92 lr=0.14 w_ov=0.571 iou=[0.942, 0.938] acc=2
r45 473s L=0.1233 cov=[0.0075, 0.0073] ov=[0.00179, 0.00895] P=6 S=53 arc=0.96 lr=0.096 w_ov=0.594 iou=[0.937, 0.938] acc=0
r46 484s L=0.1183 cov=[0.0075, 0.0075] ov=[0.00157, 0.00865] P=6 S=53 arc=0.92 lr=0.067 w_ov=0.615 iou=[0.941, 0.936] acc=2
r47 495s L=0.1112 cov=[0.0078, 0.0075] ov=[0.00141, 0.00808] P=6 S=53 arc=0.92 lr=0.093 w_ov=0.641 iou=[0.937, 0.936] acc=0
r48 504s L=0.1065 cov=[0.0079, 0.0077] ov=[0.00128, 0.0077] P=6 S=53 arc=0.92 lr=0.091 w_ov=0.667 iou=[0.937, 0.934] acc=0
r49 514s L=0.1021 cov=[0.0082, 0.0075] ov=[0.00124, 0.00729] P=6 S=53 arc=0.92 lr=0.13 w_ov=0.692 iou=[0.935, 0.934] acc=2
r50 523s L=0.09916 cov=[0.008, 0.0078] ov=[0.00094, 0.00728] P=6 S=53 arc=0.94 lr=0.11 w_ov=0.718 iou=[0.935, 0.932] acc=1
