r0 6s L=0.2268 cov=[0.0041, 0.0195] ov=[0.02915, 0.03839] P=4 S=20 arc=0.00 lr=0.35 w_ov=0.1 iou=[0.968, 0.898] acc=9
r1 12s L=0.207 cov=[0.003, 0.0166] ov=[0.02664, 0.03565] P=4 S=25 arc=0.20 lr=0.25 w_ov=0.104 iou=[0.956, 0.913] acc=10
r2 18s L=0.1457 cov=[0.0019, 0.0122] ov=[0.01823, 0.02541] P=4 S=30 arc=0.30 lr=0.35 w_ov=0.107 iou=[0.984, 0.902] acc=9
r3 26s L=0.1321 cov=[0.0022, 0.011] ov=[0.01637, 0.02306] P=4 S=38 arc=0.18 lr=0.35 w_ov=0.111 iou=[0.985, 0.939] acc=16
r4 33s L=0.1126 cov=[0.0016, 0.0104] ov=[0.01303, 0.02029] P=4 S=32 arc=0.25 lr=0.13 w_ov=0.116 iou=[0.988, 0.947] acc=10
r5 41s L=0.1065 cov=[0.0015, 0.0101] ov=[0.01219, 0.01919] P=4 S=29 arc=0.41 lr=0.13 w_ov=0.121 iou=[0.988, 0.946] acc=8
r6 49s L=0.1027 cov=[0.0016, 0.01] ov=[0.01169, 0.01848] P=4 S=27 arc=0.56 lr=0.18 w_ov=0.126 iou=[0.988, 0.947] acc=7
r7 56s L=0.1005 cov=[0.0016, 0.0097] ov=[0.01147, 0.01804] P=4 S=27 arc=0.63 lr=0.13 w_ov=0.132 iou=[0.988, 0.947] acc=3
r8 62s L=0.09627 cov=[0.0016, 0.0095] ov=[0.01085, 0.01733] P=4 S=27 arc=0.67 lr=0.18 w_ov=0.137 iou=[0.988, 0.947] acc=9
r9 70s L=0.09051 cov=[0.0015, 0.0093] ov=[0.01006, 0.01629] P=4 S=27 arc=0.74 lr=0.18 w_ov=0.143 iou=[0.988, 0.948] acc=1
r10 77s L=0.08451 cov=[0.0016, 0.009] ov=[0.00921, 0.01521] P=4 S=25 arc=0.76 lr=0.088 w_ov=0.149 iou=[0.988, 0.951] acc=3
